pathway,week,title,file,concept,enquiry,current_ticket,elicited,interpret,bounded_voice,audience,influence,next_step,tutor,boundary,award,priority
GROW,3,Cause and Consequence,Grow/Slideshows/GROW_HUM_W3_Cause_And_Consequence.html,"Motives, conditions, triggers and causal weighting","How do personal motives, wider conditions and triggers combine to cause migration?",Motive; condition; trigger; highest-ranked cause; because.,A causal chain and weighted verdict using a counterfactual or comparison.,"Check whether the pupil confuses chronology with cause, lists rather than links, or overweights the trigger.","Choose from approved cases which person/community enters the Week 4 agency case study, justified by the causal evidence.",Challenger may probe only the link/evidence; receiver restates the chain before challenge.,"Evidence-led selection shapes the next case study, with next-arrival report-back.",Secure: comparison/counterfactual. Mixed: connect cause types. Misconception: re-model condition/motive/trigger. Access: chain cards.,Optional re-read; existing causal chain may be collated after teacher approval. No tutor-written causal link.,A ballot without evidence is not historical assessment or meaningful influence.,Exact outcome mapping required.,Specimen
GROW,4,People Who Shaped Britain,Grow/Slideshows/GROW_HUM_W4_People_Who_Shaped_Britain.html,Agency within context,How can we explain historical agency while recognising context and evidence?,Person/community; change; enabling context; evidence.,An agency claim balanced with structural/contextual factors.,"Check hero-story simplification, unsupported agency or context that erases action.","Evidence-led nomination from approved sources, with a named criterion.","Peer validates reasoning, not popularity; restates claim/evidence/context.",Nominations set the Week 5 comparison set.,Secure: counterexample. Mixed: add context. Misconception: agency vs structure. Access: dual-column organiser.,May file existing evidence; no new biographical claims.,No pupil represents a whole community; use plural histories.,Exact UAS outcome/evidence required.,Medium
GROW,5,How Big a Deal?,Grow/Slideshows/GROW_HUM_W5_Significance.html,"Significance by criteria, perspective and timescale","How can criteria, perspective and timescale produce a defensible significance judgement?",Degree; significant to whom; timescale; criterion; challenge; defend/revise.,A qualified significance judgement that can be revised.,"Check criterion use, perspective, timescale and response to challenge.",Choose the criterion/perspective to test and the support request for account planning.,Partner restates judgement and criterion before challenge.,"Judgements and support requests shape Week 6 questions, source pairings and access.",Secure: new perspective/timescale. Mixed: compare criteria. Misconception: significance is constructed. Access: criteria matrix.,Optional re-read; no new criterion or verdict.,"Disagreement is historical reasoning, not pupil failure.",Candidate evidence only after exact mapping.,Medium
GROW,6,Plan the Account,Grow/Slideshows/GROW_HUM_W6_Plan_The_Account.html,"Planning chronology, causation and source evidence","How can a plan organise chronology, causation and source evidence into an account?",Main claim; order; key source evidence; agreed support.,"A controlling claim, planned sequence, evidence allocation and access contract.",Check whether support preserves authorship and whether each paragraph serves the claim.,Choose approved access/communication route and identify what support should be present.,Teacher reads back the plan and agreed support; no content is added.,The plan and access contract set Week 7 assessment conditions.,Secure: stress-test thesis. Mixed: paragraph-to-claim link. Misconception: evidence dump. Access: read-back/scribe/exact record.,May help organise existing sealed materials but must not alter plan or issue a new next step.,Assessment support decisions are centre-controlled; access is never withheld by tier.,Planning evidence is not the assessed outcome unless exact UAS outcome says so.,High
GROW,7,Write the Account ★ assessed,Grow/Slideshows/GROW_HUM_W7_Write_The_Account.html,Independent evidential account under supervised conditions,"How can I construct an independent account that uses evidence, explanation and qualified uncertainty?","Assessment reflection on claim, evidence, explanation, uncertainty and access used.",The assessed account itself and a separate post-pens-down conditions reflection.,"Authorised assessor interprets the account; Lundy response concerns conditions only, not answer content during assessment.",Choose station/access within approved conditions and give post-assessment feedback on conditions.,"Real assessor marks/returns. Any anthology uses a representative consented range, not 'best' only.",Conditions feedback informs Week 8 and future assessment; report back what changed or why not.,"Teacher gives one next step after assessment review. Tutor does not edit, annotate or improve the assessed work.",No curation or upload until the subject teacher confirms the assessment is complete and the normal evidence route is authorised.,"Protected file. No overlay may change task, timing, scaffolds, answer, conditions or access wording.","UAS claim only through exact registered unit/outcomes and centre process; AO language is developmental, not a grade.",Protected
GROW,8,Where in the World?,Grow/Slideshows/GROW_HUM_W8_Where_In_The_World.html,"Atlas evidence, spatial scale and assessment-informed reteaching",How can atlas evidence and spatial scale deepen—but not replace—historical explanation?,Routes; what geography adds; recommendation; adult owner/report-back.,Accurate mapping plus explanation of what spatial evidence adds/does not settle.,"Check map method, scale reasoning and whether geography is being used as a substitute for history.",Choose an evidence-led curriculum/resource recommendation within adult power.,Named adult receives evidence and recommendation.,Adult action/reasoned response reported back.,Secure: change scale. Mixed: compare map/evidence. Method: repair map. Access: map alternative.,May collate approved map after normal subject review; no backlog if not ready.,OS/map rights and source credits required.,Exact UAS mapping required.,High
LAUNCH,1,Source Investigation,Launch/Slideshows/LAUNCH_HUM_W1_Source_Investigation.html,How far sources support a claim,How far does a source support a claim?,Degree of support; provenance/context limit; weighed judgement.,"Claim-specific use of content, provenance, context, corroboration and weighting.","Check whether evidence is cited, limits are weighted and the verdict answers 'how far'.",Choose the next approved causation claim/docket after defending which unresolved issue matters.,"Class 'bench' probes cited details only and restates claim, evidence and limit.","The selected docket shapes Week 2, with report-back. Selection is bounded by curriculum and source availability.",Secure: same sources/new claim. Mixed: evidence-to-verdict. Misconception: bias/utility. Access: source chunking/audio.,"Optional re-read of existing close; staff-only warrant specimen may be observed, but no new pupil wording ships.",'Best verdicts' should become a representative consented range. Approved provenance required.,AO3 bridge is developmental; exact UAS outcome required.,Specimen
LAUNCH,2,Cause & Consequence Courtroom,Launch/Slideshows/LAUNCH_HUM_W2_Cause_Consequence_Courtroom.html,"Decisive, contributing and background causes","Which causes were decisive, contributing or background?",Cause categories; verdict; because.,"Causal classification, weighting, counterargument and verdict.",Check causal mechanisms and whether labels are justified.,Choose the appeal question or approved archive issue for Week 3.,Courtroom receiver restates causal chain and evidence before challenge.,Appeal question selects Week 3 archive source within approved pack.,Secure: counterfactual/appeal. Mixed: mechanism. Misconception: temporal proximity. Access: role cards/visual chain.,Existing item only; no new verdict or appeal authored.,Courtroom performance must not reward confidence over reasoning.,Exact outcome mapping required.,High
LAUNCH,3,"Archive: Nature, Origin & Purpose",Launch/Slideshows/LAUNCH_HUM_W3_Archive_NOP.html,Question-specific source utility,What is the source genuinely useful for?,Nature/origin/purpose; useful for; not useful for; why it counts for this enquiry.,Contextualised utility judgement with a question-specific yield and limit.,"Check generic NOP formula, provenance without content or blanket rejection.",Choose which evidence should be admitted to the turning-point enquiry from an approved set.,"Receiver restates enquiry, yield, bar and limitation.",Utility decisions control Week 4 evidence set; teacher reports what was admitted and why.,Secure: complementary source. Mixed: content+provenance. Misconception: purpose equals unreliability. Access: NOP cards.,"Existing utility item only, after subject approval.",Source provenance/constructed label mandatory.,Developmental AO3; exact UAS mapping.,High
LAUNCH,4,A Century of Change,Launch/Slideshows/LAUNCH_HUM_W4_Century_Of_Change.html,"Change, continuity and turning points",How far was the period a turning point?,Change; continuity; degree of turning point; strongest evidence.,A periodised judgement balancing change and continuity.,"Check presentism, single-event turning point and timescale control.",Choose the continuity or change problem that should frame the Week 5 agency debate.,"Peer restates judgement, evidence and timescale before counter.",Selected problem opens Week 5 debate.,Secure: alternative timescale. Mixed: change/continuity balance. Misconception: change means total replacement. Access: timeline comparison.,Existing item only; no new turning-point conclusion.,Ensure substantive knowledge is secure before analytic demand.,Exact UAS mapping required.,Medium
LAUNCH,5,People & Modern Britain,Launch/Slideshows/LAUNCH_HUM_W5_People_Modern_Britain.html,Agency versus structure,How far did individuals shape modern Britain?,Individual; agency; structural conditions; defended judgement and counter.,A balanced agency/structure judgement with counterargument.,"Check great-person narrative, structural determinism and evidence balance.","Choose the defended judgement that becomes a Week 6 thesis option, from approved evidence.","Receiver restates judgement, evidence, structure and counter.",Defended judgement becomes thesis choice.,Secure: counter-case. Mixed: add structure/counter. Misconception: agency as fame. Access: evidence matrix.,Existing item only.,Plural representation and no forced identity disclosure.,Exact UAS mapping required.,Medium
LAUNCH,6,Structured Account,Launch/Slideshows/LAUNCH_HUM_W6_Structured_Account.html,Thesis-controlled sustained argument,How can a thesis control a sustained argument?,Thesis; paragraph order; strongest evidence; agreed support.,"A thesis, argument architecture, evidence allocation and access contract.",Check whether paragraphs serve thesis and whether support preserves authorship.,Choose thesis from viable taught options and agree access conditions.,Teacher reads back thesis/plan and conditions without improving content.,Plan and access contract set Week 7 assessment.,Secure: stress-test counter. Mixed: paragraph function. Misconception: topic list vs thesis. Access: planning format.,No alteration of the sealed plan; normal storage only.,Protected assessment preparation.,Plan does not equal assessed outcome unless exact UAS unit says so.,High
LAUNCH,7,Source Assessment ★ assessed,Launch/Slideshows/LAUNCH_HUM_W7_Source_Assessment.html,Assessed source utility and substantiated judgement,How useful are the sources for the enquiry?,Most/least useful; why; substantiated judgement; access used.,The assessed source answer and post-assessment conditions feedback.,Authorised assessor evaluates answer; participation feedback concerns conditions only.,Choose station/access within approved conditions and one post-assessment design recommendation.,Real assessor; any anthology uses a representative consented range rather than only top answers.,Post-assessment condition recommendation is considered and reported back.,Teacher gives one next step after marking; tutor does not alter assessed work.,No upload/caption/edit until subject teacher authorises the normal route after assessment completion.,Protected file. No content support during assessment. No post-hoc audience or answer enhancement.,"UAS exact unit/outcomes/process; AO3 developmental, not a GCSE grade.",Protected
LAUNCH,8,OS Map Skills: Unfamiliar Problem,Launch/Slideshows/LAUNCH_HUM_W8_OS_Map_Skills.html,"Map interpretation, transfer and limits of map evidence",How can map evidence solve an unfamiliar problem?,Problem; grid/scale/relief evidence; solution; recommendation; adult owner/report-back.,"A route/solution supported by mapped evidence, counter-route and limits.","Check method accuracy, use of scale/grid/relief, counter-route and what maps cannot settle.",Give a keep/change/add term recommendation within the SoW decision-maker's power.,Named SoW decision-maker receives evidence and gives reasoned response.,Recommendation is acted on or declined with reasons; report-back to cohort.,Secure: new extract/constraints memo. Mixed: compare routes. Method: repair measurement. Access: enlarged/tactile/digital map.,Only subject-approved existing map evidence may be collated; no new calculation or recommendation is authored.,"OS Education Licence/appropriate rights, source credit and no public unlicensed extract.",Exact UAS mapping; geography transfer is not automatic history award evidence.,High
