file,tier,surface,negs,stem
BUILD__SCI_B_W5A_Body_Needs_Explore.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,,screen,2,★ Compare two toolkits. Which one covers more body jobs? Say which set is stronger. Then say why. 🧰 Scaffold Judge the whole set. Do not just list more cards. Fade it: re
BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,,screen,2,★ Compare two made-up plates. Which plate has more food groups? Say which one. Say why. Then say what you would change. 🧰 Scaffold Look at the whole pattern. Do not judge
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,,print,3,"Model: helps us see — The model shows the sorting rules and a range across groups. Does not show — It shows a simple pattern, not a rule for any person. It must never jud"
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,,screen,2,★ Judge your model as a way to teach. Change one part. A new learner should then see the group pattern. 🧰 Scaffold Judge how clear it is. Check the science is right. Look
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,,print,2,"Model: helps us see — The model lets us check whether the group rules are visible and the pattern is easy to read. Does not show — It is a learning model, not a plan for "
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W7A_Food_Sources_Explore.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W7B_Food_Chain_Do.html,,screen,3,★ Build two chains that link up. Or take one food source away. Then say what the chain evidence suggests could happen next. A model suggests — it cannot prove. 🧰 Scaffold
BUILD__SCI_B_W7B_Food_Chain_Do.html,,print,3,Model: helps us see — The model helps us follow the food links and find the wrong one. Does not show — It is not a full food web. One simple chain cannot prove what a rea
BUILD__SCI_B_W7B_Food_Chain_Do.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
GROW__SCI_G_W3A_Friction_Explore.html,,print,2,"What this model helps us see: It shows that friction acts against the direction of motion, and that grip comes from the pair of surfaces touching, not from one of them al"
GROW__SCI_G_W4A_Mechanisms_Explore.html,Stretch,screen,2,Explain why a mechanism cannot give a force advantage without a trade-off.
GROW__SCI_G_W6B_Earth_And_Planets_Do.html,,print,2,What this model helps us see: It shows the order of the planets and the direction they travel around the Sun. What this model does not show: It leaves out scale — a model
GROW__SCI_G_W7A_The_Moon_Explore.html,,print,2,What this model helps us see: It shows that the lit half always faces the Sun while the part we can see changes. What this model does not show: It leaves out the tilt of 
LAUNCH__SCI_L_W3L1_Microscopy_Introduce.html,,screen,2,★ Compare light and electron microscopes. Which gives more magnification? Which gives more resolution? 🧰 Scaffold Use real science words. Not the phone-zoom idea. Fade: r
LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,,screen,3,★ Explain how two factors work. Say what particles do. Particles move at random. Net movement is not the same. 🧰 Scaffold The simulator is only a model. It cannot prove e
LAUNCH__SCI_L_W4L3_Diffusion_Explanation_Do.html,,screen,2,★ Six questions. Then one more. Evaluate a damaged exchange surface. 🧰 Scaffold Be precise. Extra detail is off the point. It does not help. Fade: remove the first prompt
LAUNCH__SCI_L_W5L1_Osmosis_Introduce.html,,print,2,"Retrieval: W4 diffusion down a gradient with no cell energy. Diffusion is the net movement of particles from higher to lower concentration, down a gradient, with no cell "
LAUNCH__SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,,screen,2,★ Use the full range. Make the data graph-ready. Predict the no-net-change point. 🧰 Scaffold Get your graph evidence ready. Then estimate the zero point. Fade: remove the
LAUNCH__SCI_L_W5L3_Osmosis_Data_Do.html,Standard,screen,2,"Somewhere between your concentrations, the potato neither gains nor loses mass. How would you find it?"
LAUNCH__SCI_L_W5L3_Osmosis_Data_Do.html,,print,2,"Lead-in · Into today: Somewhere between your concentrations, the potato neither gains nor loses mass. How would you find it?"
LAUNCH__SCI_L_W6L1_Active_Transport_Introduce.html,,screen,2,★ Compare all three. Then find the link. Link mitochondria to energy demand. 🧰 Scaffold Add carrier proteins. But keep the Foundation core. Do not lose it. Fade: remove t
LAUNCH__SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,,screen,2,★ Add cross-links to your map. Give one application for each transport process. 🧰 Scaffold A cross-link explains a relationship. It is not just one more fact. Fade: remov
LAUNCH__SCI_L_W7L2_Command_Words_Explore.html,,screen,3,★ Answer all eight. Then edit your own work. Make it precise. 🧰 Scaffold Cut what is not needed. Do not add more. Fade: remove the first prompt that no longer changes suc
LAUNCH__SCI_L_W7L3_Exam_Practice_Do.html,,screen,2,★ Do the full set. Add one new application. Add one evaluation. IGCSE extension is for named learners. 🧰 Scaffold Extension means deeper reasoning. Not more questions. Fa
