file,slide_type,slide_title,panel,tier,surface,qnum,label,stem
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Supported,screen,1,,Last lesson: Point to BACKBONE or NO BACKBONE for a robin.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Supported,screen,2,,Last lesson: Point to the one with no backbone: the fish or the worm.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Supported,screen,3,,Last lesson: Point to the backbone on the fish picture.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Supported,screen,4,,Lead-in: Look at the mystery animal card. Point to one thing you notice.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Standard,screen,1,,"Last lesson: Classify robin, snail and spider from the Explore lesson."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Standard,screen,2,,Last lesson: Name one animal from last lesson with no backbone inside.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Standard,screen,3,,Last lesson: Say where the backbone is on the fish picture.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Standard,screen,4,,Lead-in: A detective uses clues. Say one clue an animal card could give you.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Stretch,screen,1,,Last lesson: Give the rule that separates vertebrates from invertebrates.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Stretch,screen,2,,Last lesson: How is a snail supported without a backbone inside?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Stretch,screen,3,,Last lesson: A crab is hard outside but is an invertebrate. Explain why.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Stretch,screen,4,,Lead-in: Which body clues would help you classify a strange animal?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,1,,Last lesson: Point to BACKBONE or NO BACKBONE for a robin.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,2,,Last lesson: Point to the one with no backbone: the fish or the worm.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,3,,Last lesson: Point to the backbone on the fish picture.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,4,,Lead-in: Look at the mystery animal card. Point to one thing you notice.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,1,,"Last lesson: Classify robin, snail and spider from the Explore lesson."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,2,,Last lesson: Name one animal from last lesson with no backbone inside.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,3,,Last lesson: Say where the backbone is on the fish picture.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,4,,Lead-in: A detective uses clues. Say one clue an animal card could give you.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,1,,Last lesson: Give the rule that separates vertebrates from invertebrates.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,2,,Last lesson: How is a snail supported without a backbone inside?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,3,,Last lesson: A crab is hard outside but is an invertebrate. Explain why.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,4,,Lead-in: Which body clues would help you classify a strange animal?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,starter,🌱 Starter · create the need to know,,,screen,,,"Mystery creature: it has a hard outside case, many legs and no visible line of bones inside. Where would you place it — and what evidence matters?"
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,independent,✏️ Independent · evidence of learning,,,screen,,,Classification field lab. Move round the room. Look at each creature card. And each model. Make two groups. Build your display. Pick two animals. Add your evidence. Say what made you sure.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,independent,✏️ Independent · evidence of learning,,,screen,,,◆ Classify six creatures. Use the anchor pair. An adult reads with you. 🧰 Scaffold Keep two cards out. Match each to the anchor pair. Fish has a backbone. Crab does not. Word bank: backbone · inside · outside · support. Fade it: remove the first prompt no longer needed.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,independent,✏️ Independent · evidence of learning,,,screen,,,"▲ Classify all eight creatures. Pick two. Justify each choice. 🧰 Scaffold Evidence prompt. Look inside. Is there an internal backbone? Look outside. Hard case? Or soft, fluid support? Fade it: remove the first prompt no longer needed."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,independent,✏️ Independent · evidence of learning,,,screen,,,★ Add a creature you do not know. Not sure? Say what more evidence you need. 🧰 Scaffold Use the words ‘not a valid test’. Pick one feature that tricks you. Then reject it. Fade it: remove the first prompt no longer needed.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,exit,🎫 Exit · adult Audience closes BUILD,exit,Supported,screen,,,What one thing tells you an animal is a vertebrate?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,exit,🎫 Exit · adult Audience closes BUILD,exit,Standard,screen,,,Classify a snake and crab and explain both.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,exit,🎫 Exit · adult Audience closes BUILD,exit,Stretch,screen,,,Explain why appearance alone can lead to a classification mistake.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,exit,🎫 Exit · adult Audience closes BUILD,,,screen,,,What one thing tells you an animal is a vertebrate?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,exit,🎫 Exit · adult Audience closes BUILD,,,screen,,,Classify a snake and crab and explain both.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,exit,🎫 Exit · adult Audience closes BUILD,,,screen,,,Explain why appearance alone can lead to a classification mistake.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,route,Supported,print,,,◆ Classify six creatures. Use the anchor pair. An adult reads with you.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,route,Standard,print,,,▲ Classify all eight creatures. Pick two. Justify each choice.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,route,Stretch,print,,,★ Add a creature you do not know. Not sure? Say what more evidence you need.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Name: _______________________________ Date: ______________________
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,"New to this class, or not sure? Everything you need is in the Retrieval box below — read it, then answer."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Learning objective: I can classify unfamiliar animals using evidence about their body structure.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Model: helps us see — One classification rule stays in view while the animals change. Does not show — It uses just one rule. Real animals vary far more.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,"Previous lesson retrieval: W3A — vertebrate = internal backbone; invertebrates can use shells, hard outer cases or fluid support."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Arrival (Supported forms): 1) Point to BACKBONE or NO BACKBONE for a robin. 2) Point to the one with no backbone: the fish or the worm. 3) Point to the backbone on the fish picture. 4) Look at the mystery animal card. Point to one thing you notice.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,◆ Classify six creatures. Use the anchor pair. An adult reads with you.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,▲ Classify all eight creatures. Pick two. Justify each choice.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,★ Add a creature you do not know. Not sure? Say what more evidence you need.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,"Your finished sort and two reasons. A photo with notes, an adult watching you explain, or a voice clip if allowed."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Supported: What one thing tells you an animal is a vertebrate?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Standard: Classify a snake and crab and explain both.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Stretch: Explain why appearance alone can lead to a classification mistake.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,"Pearson Entry Level Science 8939 (E1→E3); AQA UAS science units Records what was observed, and at which level of independence."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Observed in this lesson
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,☐ Located the backbone on a diagram unaided.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,☐ Sorted animals into vertebrate / invertebrate.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,☐ Gave a reason using the word 'because'.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Assessor comment
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Ring the tier the pupil actually worked at
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Assessor name ______________ Role ____________ Signature ______________ Date ________
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Date: ____________________ PUPIL / EVIDENCE ID: ____________________
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,Learning objective: I can classify unfamiliar animals using evidence about their body structure.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,print pack,box,,print,,,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Supported,screen,1,,Last lesson: Point to BACKBONE or NO BACKBONE for a snake.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Supported,screen,2,,Last week: Point to the backbone on the fish picture.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Supported,screen,3,,Week 3 again: Point to the crab’s hard case.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Supported,screen,4,,Lead-in: Point to the place where the model arm bends.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Standard,screen,1,,Last lesson: A snake has no legs. Say why it is still a vertebrate.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Standard,screen,2,,Last week: Name one vertebrate and one invertebrate.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Standard,screen,3,,Week 3 again: Say how a crab is supported with no backbone.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Standard,screen,4,,Lead-in: The skeleton holds the body up. What do you think makes it move?
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Stretch,screen,1,,Last lesson: Give the rule you used last lesson to classify a strange animal.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Stretch,screen,2,,Last week: Explain what makes an animal a vertebrate.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Stretch,screen,3,,Week 3 again: Explain one way an invertebrate is held up without a backbone.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,arrival,Stretch,screen,4,,Lead-in: A bone cannot move itself. What might pull it? Say what you think.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,1,,Last lesson: Point to BACKBONE or NO BACKBONE for a snake.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,2,,Last week: Point to the backbone on the fish picture.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,3,,Week 3 again: Point to the crab’s hard case.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,4,,Lead-in: Point to the place where the model arm bends.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,1,,Last lesson: A snake has no legs. Say why it is still a vertebrate.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,2,,Last week: Name one vertebrate and one invertebrate.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,3,,Week 3 again: Say how a crab is supported with no backbone.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,4,,Lead-in: The skeleton holds the body up. What do you think makes it move?
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,1,,Last lesson: Give the rule you used last lesson to classify a strange animal.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,2,,Last week: Explain what makes an animal a vertebrate.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,3,,Week 3 again: Explain one way an invertebrate is held up without a backbone.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,🚪 Arrival · retrieve last lesson,,,screen,4,,Lead-in: A bone cannot move itself. What might pull it? Say what you think.
BUILD__SCI_B_W4A_Muscles_Explore.html,starter,🌱 Starter · create the need to know,,,screen,,,"A string can pull a cardboard lever, but can it push it? Test the idea on the model before we name the muscle rule."
BUILD__SCI_B_W4A_Muscles_Explore.html,independent,✏️ Independent · evidence of learning,,,screen,,,Movement engineer. Build a model arm. Or label one that is built. Bend the arm. Show which muscle contracts. Show which muscle relaxes.
BUILD__SCI_B_W4A_Muscles_Explore.html,independent,✏️ Independent · evidence of learning,,,screen,,,◆ Use a built arm. Place the CONTRACTS label. Place the RELAXES label. 🧰 Scaffold Two labels only. CONTRACTS = pulls. RELAXES = not pulling now. Word bank: pull · bend · muscle · pair. Fade it: remove the first prompt no longer needed.
BUILD__SCI_B_W4A_Muscles_Explore.html,independent,✏️ Independent · evidence of learning,,,screen,,,"▲ Work the model. Then say how the arm bends. Or write it down. 🧰 Scaffold Stem. ‘When the arm bends, ___ contracts and ___ relaxes’. Swap the two for straighten. Fade it: remove the first prompt no longer needed."
BUILD__SCI_B_W4A_Muscles_Explore.html,independent,✏️ Independent · evidence of learning,,,screen,,,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two? 🧰 Scaffold Use the words ‘muscles only pull’. So one muscle cannot push the arm back. Explain why the pair is needed. Fade it: remove the first prompt no longer needed.
BUILD__SCI_B_W4A_Muscles_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,exit,Supported,screen,,,Complete: muscles work in a ___.
BUILD__SCI_B_W4A_Muscles_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,exit,Standard,screen,,,"When the model arm bends, what does the triceps do?"
BUILD__SCI_B_W4A_Muscles_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,exit,Stretch,screen,,,Explain why muscles need partners if they can only pull.
BUILD__SCI_B_W4A_Muscles_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,,,screen,,,Complete: muscles work in a ___.
BUILD__SCI_B_W4A_Muscles_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,,,screen,,,"When the model arm bends, what does the triceps do?"
BUILD__SCI_B_W4A_Muscles_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,,,screen,,,Explain why muscles need partners if they can only pull.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,print pack,route,Supported,print,,,◆ Use a built arm. Place the CONTRACTS label. Place the RELAXES label.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,print pack,route,Standard,print,,,▲ Work the model. Then say how the arm bends. Or write it down.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,print pack,route,Stretch,print,,,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two?
BUILD__SCI_B_W4A_Muscles_Explore.html,print,print pack,box,,print,,,Name: _______________________________ Date: ______________________
BUILD__SCI_B_W4A_Muscles_Explore.html,print,print pack,box,,print,,,"New to this class, or not sure? Everything you need is in the Retrieval box below — read it, then answer."
BUILD__SCI_B_W4A_Muscles_Explore.html,print,print pack,box,,print,,,Learning objective: I can explain that muscles work in pairs to move a bone.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,print pack,box,,print,,,Model: helps us see — The arm model lets us see the two pulls swap. Does not show — Card and string are not real body parts. It cannot measure force or show a full elbow.
