pathway,kind,file,path,bytes,sha256,scripts,slides,witness,word_help,word_bank,oak_links,pm_pp_class,pm_proute,pm_printpack,pm_pline_class,pm_pidline,pm_pentry,pm_printTier,pm_printA,pm_printB,pm_afterprint,pm_media_print,sn_loop_mark,sn_closure_line
GROW,lesson,SCI_G_W3B_Friction_Do.html,Science_Teesside/Grow/v3_40min/SCI_G_W3B_Friction_Do.html,95149,e5f2ac6dc43fb590eee15f424419e8f9fc95416fe0ca011de4c4484ca470756c,2,9,2,4,0,1,0,0,0,0,1,1,6,0,0,1,4,0,4
GROW,lesson,SCI_G_W4A_Mechanisms_Explore.html,Science_Teesside/Grow/v3_40min/SCI_G_W4A_Mechanisms_Explore.html,94967,6801fae05515b13150047c460021f64bf9711f9fee9fcb68a07cd3d41bf05f81,2,9,2,4,0,3,0,0,0,0,1,1,6,0,0,1,4,0,4
GROW,lesson,SCI_G_W4B_Mechanisms_Do.html,Science_Teesside/Grow/v3_40min/SCI_G_W4B_Mechanisms_Do.html,93634,b6d8b0dc996dbfc57f83079f45fd258d3b852401061d250f3ccb9a950ecb93f9,2,9,2,4,0,1,0,0,0,0,1,1,6,0,0,1,4,0,4
GROW,lesson,SCI_G_W5A_Fair_Test_Explore.html,Science_Teesside/Grow/v3_40min/SCI_G_W5A_Fair_Test_Explore.html,94897,e542a513617f166cb4a0396d0fc9bf78fcba0316a2095049613df1542cb0eea8,2,9,2,4,2,1,0,0,0,0,1,1,6,0,0,1,4,0,4
GROW,lesson,SCI_G_W5B_Fair_Test_Do.html,Science_Teesside/Grow/v3_40min/SCI_G_W5B_Fair_Test_Do.html,95975,9dc60c48de39e239dbd60af815578f9c779003376754c580620692f16937e11c,2,9,2,4,0,1,0,0,0,0,1,1,6,0,0,1,4,0,4
GROW,lesson,SCI_G_W6A_Earth_And_Planets_Explore.html,Science_Teesside/Grow/v3_40min/SCI_G_W6A_Earth_And_Planets_Explore.html,94670,8b26285014944b8a7ca2fe31e6a1dc41b631d10ba603e2d5bfd52880b7bd704c,2,9,2,4,0,2,0,0,0,0,1,1,6,0,0,1,4,0,4
GROW,lesson,SCI_G_W6B_Earth_And_Planets_Do.html,Science_Teesside/Grow/v3_40min/SCI_G_W6B_Earth_And_Planets_Do.html,93912,851ba72d27b2b461f2f5c0c78daed8838405cde810f5d888923cae77e2f9671a,2,9,2,4,0,1,0,0,0,0,1,1,6,0,0,1,4,0,4
GROW,lesson,SCI_G_W7A_The_Moon_Explore.html,Science_Teesside/Grow/v3_40min/SCI_G_W7A_The_Moon_Explore.html,86525,b2ff5ada3ec690ed852dcf2232dacb6a83df37e1411ff44fc8e73abfe485b141,2,9,2,4,0,1,0,0,0,0,1,1,6,0,0,1,3,0,4
GROW,lesson,SCI_G_W7B_The_Moon_Do.html,Science_Teesside/Grow/v3_40min/SCI_G_W7B_The_Moon_Do.html,92975,dcf01639f0a2baad7c9815315162b17746f76aadc3dda9ed324092955bda4b99,2,9,2,4,0,1,0,0,0,0,1,1,6,0,0,1,4,0,4
GROW,doc,TEACHER_IMPLEMENTATION_GUIDE.html,Science_Teesside/Grow/v3_40min/TEACHER_IMPLEMENTATION_GUIDE.html,5936,b1625a72f87cc324d120ceba0d9e295ab44e900e5bfa0a7094021a47b827a462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROW,index,index.html,Science_Teesside/Grow/v3_40min/index.html,7255,eca1324113d727ba8cbbfc35038eb4944ac4c06c44f15c9c2368891eeda9fe13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GROW,manifest,manifest-v3.json,Science_Teesside/Grow/v3_40min/manifest-v3.json,6577,ab51b90faaa0ca183eb1d7edcb6bd0158b4ca9a378f96a0ef2b3587df85ae84a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAUNCH,doc,LAUNCH_DAILY_REFLECTION_EVIDENCE_WINDOW.html,Science_Teesside/Launch/v3_40min/LAUNCH_DAILY_REFLECTION_EVIDENCE_WINDOW.html,12029,326d6133af843bb1578138327de715a3c45a1dfa0188982d7b21937fc129dac7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAUNCH,doc,LAUNCH_SCIENCE_PRACTICALS_MATRIX.html,Science_Teesside/Launch/v3_40min/LAUNCH_SCIENCE_PRACTICALS_MATRIX.html,20155,feb68764860417b3d7561fbc3cfb7cf8dd5298efe18ac7a519b4bc642ef61312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LAUNCH,doc,LAUNCH_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,Science_Teesside/Launch/v3_40min/LAUNCH_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,20298,1e6ad5f336503148f06272bfb0822f9077fdc96502509c64d5627e35075c971b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LAUNCH,lesson,SCI_L_W3L1_Microscopy_Introduce.html,Science_Teesside/Launch/v3_40min/SCI_L_W3L1_Microscopy_Introduce.html,73934,2695720c5cb68099d4352f67947f0d1ba913d74667347b4381094d51aaf701cf,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W3L2_Calculating_Magnification_Explore.html,Science_Teesside/Launch/v3_40min/SCI_L_W3L2_Calculating_Magnification_Explore.html,73489,0997424af531f9dcb6208db0f45c3d7e8cd8640b3e537d499803afafa38a1063,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W3L3_Magnification_Lab_Do.html,Science_Teesside/Launch/v3_40min/SCI_L_W3L3_Magnification_Lab_Do.html,74246,4453b482487ee2ba93d863c58f4129e59a9ac6bee75fc1922304686bf536696f,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W4L1_Diffusion_Introduce.html,Science_Teesside/Launch/v3_40min/SCI_L_W4L1_Diffusion_Introduce.html,73279,1e3494076fa011143ba78960211b3913e4856d877b25d69feff950c5031ac20d,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W4L2_Diffusion_Lungs_Explore.html,Science_Teesside/Launch/v3_40min/SCI_L_W4L2_Diffusion_Lungs_Explore.html,73172,fa0222db291f8e97e4ade148dc4115d6a78fa66921d917441d864694a6b52cde,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W4L3_Diffusion_Explanation_Do.html,Science_Teesside/Launch/v3_40min/SCI_L_W4L3_Diffusion_Explanation_Do.html,71984,491ed089d0f26a74a53d350b1b32b3a4dda679ea1e90a97515459ad9fa31b0a2,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W5L1_Osmosis_Introduce.html,Science_Teesside/Launch/v3_40min/SCI_L_W5L1_Osmosis_Introduce.html,71904,f268d9a2457756964ef7cc032ec283492dd77a5c63f39c98ad32c0108ee5948c,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,Science_Teesside/Launch/v3_40min/SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,73622,3cac973395730bc9fb70b56e71b1819e618ec13be3926f4a14dda7ce9f7b95ed,2,9,2,4,0,1,2,8,3,9,1,1,1,0,0,1,5,0,2
LAUNCH,lesson,SCI_L_W5L3_Osmosis_Data_Do.html,Science_Teesside/Launch/v3_40min/SCI_L_W5L3_Osmosis_Data_Do.html,76264,dc8fb8f7b6dc053dfec03f6a1141ff3fba6fbfba9a59a8a8ce63dd3e37c220cf,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W6L1_Active_Transport_Introduce.html,Science_Teesside/Launch/v3_40min/SCI_L_W6L1_Active_Transport_Introduce.html,72029,c52592788d67b1ddc69274f8bb829bd7187cd0da3b4a2726cedf9beeacf2fc01,2,9,2,4,2,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,Science_Teesside/Launch/v3_40min/SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,71905,df922cb9213135c9e395c98c6b5e7527543fb49f5728f22d0400d444612a7b86,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W6L3_Compare_Transport_Do.html,Science_Teesside/Launch/v3_40min/SCI_L_W6L3_Compare_Transport_Do.html,73815,3efed95b135013fc0cabf396e3682a8e6bd21a61ab736cadacb405f4d2a42799,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,Science_Teesside/Launch/v3_40min/SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,72263,27d2dd385eb71c00e835ea26eb24cf0f54664b81de14d5b89b2032825b8f3d59,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W7L2_Command_Words_Explore.html,Science_Teesside/Launch/v3_40min/SCI_L_W7L2_Command_Words_Explore.html,71352,529e016b28a6efe4e3d60c4617773428e9d06d89da395e0f80cb8d6dc21355f0,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,lesson,SCI_L_W7L3_Exam_Practice_Do.html,Science_Teesside/Launch/v3_40min/SCI_L_W7L3_Exam_Practice_Do.html,72889,fb3678060d89abd58c94fdfba7ccc6b394bf3781f33fc807e51fd4515561b1e8,2,9,2,4,0,0,2,8,3,9,1,1,1,0,0,1,4,0,2
LAUNCH,doc,TEACHER_IMPLEMENTATION_GUIDE.html,Science_Teesside/Launch/v3_40min/TEACHER_IMPLEMENTATION_GUIDE.html,2742,2df81b3f9c51db70d8a527b79d2154a2f73536b7b231b1134e1ea4548f72046e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAUNCH,index,index.html,Science_Teesside/Launch/v3_40min/index.html,6810,053a4ed1161e26cc4d5503e720587f1f7f0bcf5f349de918c567ce313eb9b734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LAUNCH,manifest,manifest-v3.json,Science_Teesside/Launch/v3_40min/manifest-v3.json,7731,08cd9676210ad35059612072e25c3a22f0bc09ca6befb76907b7010b2df8bc79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
