file,slide,tier,surface,fk,words,stem
BUILD__SCI_B_W3A_Backbones_Explore.html,print,Standard,print,0.7,16,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,Stretch,print,2.9,16,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,-3.0,2,Name: _______________________________ Date: ______________________
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,3.0,19,"New to this class, or not sure? Everything you need is in the box above — read it, then answer."
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,8.4,14,Learning objective: I can sort animals into those with a backbone and those without.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,6.7,31,Model: helps us see — The model helps us check one feature every time: the internal backbone. Does not show — It does not show every feature. Looks al
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,6.4,22,Arrival — what you already know: Weeks 1 and 2 were baseline. There is no previous lesson to recall — this is where the teaching starts.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,3.3,38,Arrival (Supported forms): 1) Point to the backbone on the skeleton picture. 2) Point to an animal card you know. 3) Point to a hard animal. Point to 
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,-0.0,16,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,0.7,16,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,2.9,16,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,3.1,21,"Your sorted mat and your reason. An adult may take a photo, watch you sort, or record your voice if allowed."
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,6.4,6,Supported: Circle the vertebrate: worm / cat.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,6.7,13,Standard: Name one vertebrate and one invertebrate and give the test you used.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,9.4,13,Stretch: Explain how an animal can be supported even without an internal backbone.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,9.9,20,"Pearson Entry Level Science 8939 (E1→E3); AQA UAS science units Records what was observed, and at which level of independence."
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,5.7,7,☐ Located the backbone on a diagram unaided.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,17.0,5,☐ Sorted animals into vertebrate / invertebrate.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,4.0,7,☐ Gave a reason using the word 'because'.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,3.8,8,Ring the tier the pupil actually worked at
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,10.0,5,Assessor name ______________ Role ____________ Signature ______________ Date ________
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,6.6,4,Date: ____________________ PUPIL / EVIDENCE ID: ____________________
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,8.4,14,Learning objective: I can sort animals into those with a backbone and those without.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,,print,4.6,26,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces"
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Supported,screen,4.8,11,Last lesson: Point to BACKBONE or NO BACKBONE for a robin.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Supported,screen,3.4,14,Last lesson: Point to the one with no backbone: the fish or the worm.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Supported,screen,3.7,10,Last lesson: Point to the backbone on the fish picture.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Supported,screen,4.2,13,Lead-in: Look at the mystery animal card. Point to one thing you notice.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Standard,screen,8.0,11,"Last lesson: Classify robin, snail and spider from the Explore lesson."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Standard,screen,6.8,12,Last lesson: Name one animal from last lesson with no backbone inside.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Standard,screen,3.7,11,Last lesson: Say where the backbone is on the fish picture.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Standard,screen,3.2,14,Lead-in: A detective uses clues. Say one clue an animal card could give you.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Stretch,screen,10.7,10,Last lesson: Give the rule that separates vertebrates from invertebrates.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Stretch,screen,5.9,11,Last lesson: How is a snail supported without a backbone inside?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Stretch,screen,4.2,13,Last lesson: A crab is hard outside but is an invertebrate. Explain why.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Stretch,screen,6.9,11,Lead-in: Which body clues would help you classify a strange animal?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,starter,,screen,6.3,26,"Mystery creature: it has a hard outside case, many legs and no visible line of bones inside. Where would you place it — and what evidence matters?"
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,independent,,screen,1.7,32,Classification field lab. Move round the room. Look at each creature card. And each model. Make two groups. Build your display. Pick two animals. Add 
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,independent,,screen,1.8,45,◆ Classify six creatures. Use the anchor pair. An adult reads with you. 🧰 Scaffold Keep two cards out. Match each to the anchor pair. Fish has a backb
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,independent,,screen,2.9,36,▲ Classify all eight creatures. Pick two. Justify each choice. 🧰 Scaffold Evidence prompt. Look inside. Is there an internal backbone? Look outside. H
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,independent,,screen,1.1,41,★ Add a creature you do not know. Not sure? Say what more evidence you need. 🧰 Scaffold Use the words ‘not a valid test’. Pick one feature that tricks
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,exit,Supported,screen,4.8,10,What one thing tells you an animal is a vertebrate?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,exit,Standard,screen,3.8,8,Classify a snake and crab and explain both.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,exit,Stretch,screen,10.7,10,Explain why appearance alone can lead to a classification mistake.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,Supported,print,2.7,12,◆ Classify six creatures. Use the anchor pair. An adult reads with you.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,Standard,print,3.9,9,▲ Classify all eight creatures. Pick two. Justify each choice.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,Stretch,print,0.5,15,★ Add a creature you do not know. Not sure? Say what more evidence you need.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,-3.0,2,Name: _______________________________ Date: ______________________
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,3.0,19,"New to this class, or not sure? Everything you need is in the box above — read it, then answer."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,15.8,13,Learning objective: I can classify unfamiliar animals using evidence about their body structure.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,5.4,27,Model: helps us see — One classification rule stays in view while the animals change. Does not show — It uses just one rule. Real animals vary far mor
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,13.1,18,"Previous lesson retrieval: W3A — vertebrate = internal backbone; invertebrates can use shells, hard outer cases or fluid support."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,3.4,44,Arrival (Supported forms): 1) Point to BACKBONE or NO BACKBONE for a robin. 2) Point to the one with no backbone: the fish or the worm. 3) Point to th
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,2.7,12,◆ Classify six creatures. Use the anchor pair. An adult reads with you.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,3.9,9,▲ Classify all eight creatures. Pick two. Justify each choice.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,0.5,15,★ Add a creature you do not know. Not sure? Say what more evidence you need.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,4.2,21,"Your finished sort and two reasons. A photo with notes, an adult watching you explain, or a voice clip if allowed."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,5.9,11,Supported: What one thing tells you an animal is a vertebrate?
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,5.0,9,Standard: Classify a snake and crab and explain both.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,10.2,11,Stretch: Explain why appearance alone can lead to a classification mistake.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,9.9,20,"Pearson Entry Level Science 8939 (E1→E3); AQA UAS science units Records what was observed, and at which level of independence."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,5.7,7,☐ Located the backbone on a diagram unaided.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,17.0,5,☐ Sorted animals into vertebrate / invertebrate.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,4.0,7,☐ Gave a reason using the word 'because'.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,3.8,8,Ring the tier the pupil actually worked at
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,10.0,5,Assessor name ______________ Role ____________ Signature ______________ Date ________
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,6.6,4,Date: ____________________ PUPIL / EVIDENCE ID: ____________________
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,15.8,13,Learning objective: I can classify unfamiliar animals using evidence about their body structure.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,4.6,26,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces"
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Supported,screen,3.7,11,Last lesson: Point to BACKBONE or NO BACKBONE for a snake.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Supported,screen,2.5,10,Last week: Point to the backbone on the fish picture.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Supported,screen,0.8,8,Week 3 again: Point to the crab’s hard case.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Supported,screen,2.5,10,Lead-in: Point to the place where the model arm bends.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Standard,screen,1.5,14,Last lesson: A snake has no legs. Say why it is still a vertebrate.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Standard,screen,6.7,8,Last week: Name one vertebrate and one invertebrate.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Standard,screen,3.7,11,Week 3 again: Say how a crab is supported with no backbone.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Standard,screen,2.3,14,Lead-in: The skeleton holds the body up. What do you think makes it move?
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Stretch,screen,7.6,14,Last lesson: Give the rule you used last lesson to classify a strange animal.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Stretch,screen,6.3,9,Last week: Explain what makes an animal a vertebrate.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Stretch,screen,7.6,13,Week 3 again: Explain one way an invertebrate is held up without a backbone.
BUILD__SCI_B_W4A_Muscles_Explore.html,arrival,Stretch,screen,0.6,14,Lead-in: A bone cannot move itself. What might pull it? Say what you think.
BUILD__SCI_B_W4A_Muscles_Explore.html,starter,,screen,4.3,24,"A string can pull a cardboard lever, but can it push it? Test the idea on the model before we name the muscle rule."
BUILD__SCI_B_W4A_Muscles_Explore.html,independent,,screen,2.8,23,Movement engineer. Build a model arm. Or label one that is built. Bend the arm. Show which muscle contracts. Show which muscle relaxes.
BUILD__SCI_B_W4A_Muscles_Explore.html,independent,,screen,2.2,37,◆ Use a built arm. Place the CONTRACTS label. Place the RELAXES label. 🧰 Scaffold Two labels only. CONTRACTS = pulls. RELAXES = not pulling now. Word 
BUILD__SCI_B_W4A_Muscles_Explore.html,independent,,screen,0.5,36,"▲ Work the model. Then say how the arm bends. Or write it down. 🧰 Scaffold Stem. ‘When the arm bends, ___ contracts and ___ relaxes’. Swap the two for"
BUILD__SCI_B_W4A_Muscles_Explore.html,independent,,screen,1.8,47,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two? 🧰 Scaffold Use the words ‘muscles only pull’. So one muscl
BUILD__SCI_B_W4A_Muscles_Explore.html,exit,Supported,screen,2.9,5,Complete: muscles work in a ___.
BUILD__SCI_B_W4A_Muscles_Explore.html,exit,Standard,screen,2.5,10,"When the model arm bends, what does the triceps do?"
BUILD__SCI_B_W4A_Muscles_Explore.html,exit,Stretch,screen,4.8,10,Explain why muscles need partners if they can only pull.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,Supported,print,1.7,12,◆ Use a built arm. Place the CONTRACTS label. Place the RELAXES label.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,Standard,print,-1.2,13,▲ Work the model. Then say how the arm bends. Or write it down.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,Stretch,print,1.3,17,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two?
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,-3.0,2,Name: _______________________________ Date: ______________________
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,3.0,19,"New to this class, or not sure? Everything you need is in the box above — read it, then answer."
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,5.9,14,Learning objective: I can explain that muscles work in pairs to move a bone.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,2.7,34,Model: helps us see — The arm model lets us see the two pulls swap. Does not show — Card and string are not real body parts. It cannot measure force o
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,13.5,14,Previous lesson retrieval: Aut1·W3 — vertebrates have an internal skeleton/backbone that provides structure.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,2.3,35,Arrival (Supported forms): 1) Point to BACKBONE or NO BACKBONE for a snake. 2) Point to the backbone on the fish picture. 3) Point to the crab’s hard 
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,1.7,12,◆ Use a built arm. Place the CONTRACTS label. Place the RELAXES label.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,-1.2,13,▲ Work the model. Then say how the arm bends. Or write it down.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,1.3,17,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two?
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,5.0,18,"Your labelled model and your demonstration. A photo with your words, an adult watching, or your words scribed."
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,4.5,6,Supported: Complete: muscles work in a ___.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,3.7,11,"Standard: When the model arm bends, what does the triceps do?"
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,4.8,11,Stretch: Explain why muscles need partners if they can only pull.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,9.9,20,"Pearson Entry Level Science 8939 (E1→E3); AQA UAS science units Records what was observed, and at which level of independence."
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,3.8,8,☐ Named biceps and triceps as a working pair.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,2.3,7,☐ Stated that muscles pull and never push.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,8.4,6,☐ Demonstrated contract / relax on a model.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,3.8,8,Ring the tier the pupil actually worked at
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,10.0,5,Assessor name ______________ Role ____________ Signature ______________ Date ________
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,6.6,4,Date: ____________________ PUPIL / EVIDENCE ID: ____________________
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,5.9,14,Learning objective: I can explain that muscles work in pairs to move a bone.
BUILD__SCI_B_W4A_Muscles_Explore.html,print,,print,4.6,26,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces"
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Supported,screen,3.8,12,Last lesson: Point to the band that contracts when the model bends.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Supported,screen,4.8,10,Last week: Point to the backbone on the skeleton picture.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Supported,screen,4.8,11,Week 3 again: Point to the animal with a hard case outside.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Supported,screen,-0.6,11,Lead-in: Look at the card arm parts. Point to the joint.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Standard,screen,4.0,13,Last lesson: Say what the biceps and triceps do when the arm bends.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Standard,screen,6.7,8,Last week: Name one vertebrate and one invertebrate.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Standard,screen,5.8,12,Week 3 again: Say one way an animal with no backbone is supported.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Standard,screen,1.5,14,Lead-in: Today we build. Say one thing a good model of an arm needs.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Stretch,screen,4.8,12,Last lesson: Explain why muscles work as a pair at the elbow.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Stretch,screen,9.6,10,Last week: Give the rule that separates vertebrates from invertebrates.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Stretch,screen,4.8,12,Week 3 again: Explain why size is not the test for a vertebrate.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,arrival,Stretch,screen,1.5,15,Lead-in: What would make a model arm show the real Science well? Say one idea.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,starter,,screen,10.6,16,Engineering challenge: can you make the same cardboard forearm move both directions using only pulling forces?
BUILD__SCI_B_W4B_Muscle_Model_Do.html,independent,,screen,0.9,29,Model Arm Workshop. Build a two-band arm. Or adapt one. Or just work it. Show BEND. Show STRAIGHTEN. Place the right labels. Then explain the swap to 
BUILD__SCI_B_W4B_Muscle_Model_Do.html,independent,,screen,2.9,35,◆ Use a built model. Work it. Then label it. 🧰 Scaffold Photo sequence: choose band → pull → watch movement → label contracts/relaxes. Word bank: pull
BUILD__SCI_B_W4B_Muscle_Model_Do.html,independent,,screen,1.5,37,"▲ Build it from the photo steps. Work it. Explain the bend. Explain the straighten. 🧰 Scaffold Two sentence frames. ‘When the arm bends, ___ contracts"
BUILD__SCI_B_W4B_Muscle_Model_Do.html,independent,,screen,1.8,36,★ Make the model better. Or find a fault. Keep the pull-pair rule. 🧰 Scaffold Model critique. What does the band do well? What is not real about it? F
BUILD__SCI_B_W4B_Muscle_Model_Do.html,exit,Supported,screen,2.3,8,Which band pulls to straighten in your model?
BUILD__SCI_B_W4B_Muscle_Model_Do.html,exit,Standard,screen,6.7,8,Explain the muscle swap using contract and relax.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,exit,Stretch,screen,10.7,12,Explain one limitation of the model without losing the core scientific rule.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,Supported,print,0.0,9,◆ Use a built model. Work it. Then label it.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,Standard,print,0.9,14,▲ Build it from the photo steps. Work it. Explain the bend. Explain the straighten.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,Stretch,print,1.7,12,★ Make the model better. Or find a fault. Keep the pull-pair rule.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,-3.0,2,Name: _______________________________ Date: ______________________
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,3.0,19,"New to this class, or not sure? Everything you need is in the box above — read it, then answer."
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,7.8,18,Learning objective: I can build or operate a model that shows how a muscle pair moves a bone.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,7.2,27,"Model: helps us see — The model shows one idea: opposite moves need opposite pulls. Does not show — It does not show tendons, real anatomy, force or t"
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,8.7,30,"Previous lesson retrieval: W4A — muscles can only pull; biceps/triceps take turns contracting and relaxing. When the arm bends, the biceps (the top ba"
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,2.9,40,Arrival (Supported forms): 1) Point to the band that contracts when the model bends. 2) Point to the backbone on the skeleton picture. 3) Point to the
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,0.0,9,◆ Use a built model. Work it. Then label it.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,0.9,14,▲ Build it from the photo steps. Work it. Explain the bend. Explain the straighten.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,1.7,12,★ Make the model better. Or find a fault. Keep the pull-pair rule.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,4.2,21,"Show your model to an adult. A labelled photo with your words, an adult watching, or a short clip if allowed."
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,3.7,9,Supported: Which band pulls to straighten in your model?
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,7.6,9,Standard: Explain the muscle swap using contract and relax.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,10.4,13,Stretch: Explain one limitation of the model without losing the core scientific rule.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,9.9,20,"Pearson Entry Level Science 8939 (E1→E3); AQA UAS science units Records what was observed, and at which level of independence."
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,3.8,8,☐ Named biceps and triceps as a working pair.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,2.3,7,☐ Stated that muscles pull and never push.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,8.4,6,☐ Demonstrated contract / relax on a model.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,3.8,8,Ring the tier the pupil actually worked at
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,10.0,5,Assessor name ______________ Role ____________ Signature ______________ Date ________
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,6.6,4,Date: ____________________ PUPIL / EVIDENCE ID: ____________________
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,7.8,18,Learning objective: I can build or operate a model that shows how a muscle pair moves a bone.
BUILD__SCI_B_W4B_Muscle_Model_Do.html,print,,print,4.6,26,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces"
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Supported,screen,4.2,14,Last lesson: From last lesson: point to the part of the model that pulled.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Supported,screen,2.9,12,Last week: Point to the muscle that contracts to bend the arm.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Supported,screen,7.2,10,Older learning: Point to the backbone on the skeleton picture.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Supported,screen,4.8,10,Lead-in: Point to a picture of a body working hard.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Standard,screen,4.8,10,Last lesson: Say what your model showed about muscle pairs.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Standard,screen,1.0,9,Last week: State one job muscles do with bones.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Standard,screen,9.7,8,Older learning: Name one vertebrate and one invertebrate.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Standard,screen,1.5,15,Lead-in: Muscles work hard when they pull. What do you think keeps a body going?
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Stretch,screen,4.4,15,Last lesson: Explain one thing your model could show and one thing it could not.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Stretch,screen,2.5,10,Last week: Explain how a muscle pair moves a bone.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Stretch,screen,6.7,8,Older learning: Give the vertebrate rule from week 3.
BUILD__SCI_B_W5A_Body_Needs_Explore.html,arrival,Stretch,screen,3.9,15,Lead-in: A working body needs something to keep it working. Where might that come from?
