file,check,found,context
BUILD__SCI_B_W5A_Body_Needs_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word nutrition Hear the word nutrient Hear the word function
BUILD__SCI_B_W5A_Body_Needs_Explore.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,space-before-punct,'\n.',"ests it. 🔤 Word help on .tier.on .box.task p .box.task h3, .box.task p . Now press the group the card evidence supports. Choose one evidence c"
BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word evidence Hear the word nutrient Hear the word revise 🤝 W
BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,space-before-punct,'\n.',"ests it. 🔤 Word help on .tier.on .box.task p .box.task h3, .box.task p . Now press the group the card evidence supports. Choose one evidence c"
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word food group Hear the word classify Hear the word balance
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,space-before-punct,'\n.',"ests it. 🔤 Word help on .tier.on .box.task p .box.task h3, .box.task p . Now press the group the card evidence supports. Choose one evidence c"
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word criterion Hear the word model Hear the word revise 🤝 We
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__SCI_B_W7A_Food_Sources_Explore.html,space-before-punct,'\n.',": read the finished chain in words — food source → animal that eats it . The words carry the meaning, not the arrow alone. 1 · Choose a card."
BUILD__SCI_B_W7A_Food_Sources_Explore.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W7A_Food_Sources_Explore.html,space-before-punct,'\n.',Supplied evidence: fox eats rabbit in this example. 3px solid #7c3aed . Choose one card; the supplied evidence tells you its place. . Now pre
BUILD__SCI_B_W7A_Food_Sources_Explore.html,space-before-punct,'\n.',#7c3aed . Choose one card; the supplied evidence tells you its place. . Now press its place in the chain. Choose one card first. Then choose
BUILD__SCI_B_W7A_Food_Sources_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word food source Hear the word food chain Hear the word evide
BUILD__SCI_B_W7A_Food_Sources_Explore.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__SCI_B_W7B_Food_Chain_Do.html,space-before-punct,'\n.',": read the finished chain in words — food source → animal that eats it . The words carry the meaning, not the arrow alone. 1 · Choose a card."
BUILD__SCI_B_W7B_Food_Chain_Do.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W7B_Food_Chain_Do.html,space-before-punct,'\n.',Supplied evidence: fox eats rabbit in this example. 3px solid #7c3aed . Choose one card; the supplied evidence tells you its place. . Now pre
BUILD__SCI_B_W7B_Food_Chain_Do.html,space-before-punct,'\n.',#7c3aed . Choose one card; the supplied evidence tells you its place. . Now press its place in the chain. Choose one card first. Then choose
BUILD__SCI_B_W7B_Food_Chain_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word relationship Hear the word revise Hear the word food cha
BUILD__SCI_B_W7B_Food_Chain_Do.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__TEACHER_IMPLEMENTATION_GUIDE.html,no-qmark-on-wh,'How to keep the lessons exciting withou,he Lessons catalogue. BUILD Science v3 · Teacher Implementation Guide How to keep the lessons exciting without allowing the activity to replace the learning. 1 · The non-negotiable lesson grammar Arrival retrieves the actual pre
GROW__GROW_SCIENCE_PRACTICALS_MATRIX.html,space-before-punct,'\n:',". Hands clear of the run-off. Light loads only. In-lesson results tool : enter three distances, the bar chart redraws. Typed entry, keyboard-o"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX.html,space-before-punct,'\n.',gers clear of the pivot and of the falling load — both are trap points . An adult positions the load for any pupil who cannot judge the drop.
GROW__GROW_SCIENCE_PRACTICALS_MATRIX.html,space-before-punct,'\n:',he load for any pupil who cannot judge the drop. In-lesson lever model : pivot slider with a written explanation of the effort/distance trade.
GROW__GROW_SCIENCE_PRACTICALS_MATRIX.html,space-before-punct,'\n:',plan before any equipment is used in W5B. In-lesson method repair tool : three checkboxes and a written verdict on whether the method can answ
GROW__GROW_SCIENCE_PRACTICALS_MATRIX.html,space-before-punct,'\n:',"ree who releases and who measures before starting. In-lesson data tool : nine readings in, three means and a bar chart out, with a written pro"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX.html,space-before-punct,'\n:',"e desk version where floor work is not safe. In-lesson Mission Control : order the eight planets by button, with a reset, and a written prompt"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX.html,space-before-punct,'\n:',"clear of walkways. String stays short and flat. In-lesson orbit model : four orbital positions by button, each with a written gravity/motion"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX.html,space-before-punct,'\n:',"would distress a pupil or make movement unsafe. In-lesson phase model : four positions by button, each stating that the effect is viewing geo"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX.html,no-qmark-on-wh,'Do not point light at faces. Pre-punche,"in or punches a hole. Test the lamp position before the lesson. 5 min Do not point light at faces. Pre-punched or ready-made wheels only. Keep the movement area clear before anyone stands up. In-lesson phase model used as a four-phase route (New, First quarter,"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,space-before-punct,'\n:',". Hands clear of the run-off. Light loads only. In-lesson results tool : enter three distances, the bar chart redraws. Typed entry, keyboard-o"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,space-before-punct,'\n.',gers clear of the pivot and of the falling load — both are trap points . An adult positions the load for any pupil who cannot judge the drop.
GROW__GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,space-before-punct,'\n:',he load for any pupil who cannot judge the drop. In-lesson lever model : pivot slider with a written explanation of the effort/distance trade.
GROW__GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,space-before-punct,'\n:',plan before any equipment is used in W5B. In-lesson method repair tool : three checkboxes and a written verdict on whether the method can answ
GROW__GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,space-before-punct,'\n:',"ree who releases and who measures before starting. In-lesson data tool : nine readings in, three means and a bar chart out, with a written pro"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,space-before-punct,'\n:',"e desk version where floor work is not safe. In-lesson Mission Control : order the eight planets by button, with a reset, and a written prompt"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,space-before-punct,'\n:',"clear of walkways. String stays short and flat. In-lesson orbit model : four orbital positions by button, each with a written gravity/motion"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,space-before-punct,'\n:',"would distress a pupil or make movement unsafe. In-lesson phase model : four positions by button, each stating that the effect is viewing geo"
GROW__GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,no-qmark-on-wh,'Do not point light at faces. Pre-punche,"in or punches a hole. Test the lamp position before the lesson. 5 min Do not point light at faces. Pre-punched or ready-made wheels only. Keep the movement area clear before anyone stands up. In-lesson phase model used as a four-phase route (New, First quarter,"
GROW__LUNDY_DAILY_REFLECTION_EVIDENCE_WINDOW.html,space-before-punct,'\n?',es it. The lesson files never upload automatically. VF WS I NS+ E R // ? R only after genuine Audience. Use codes on the actual school workflo
GROW__LUNDY_DAILY_REFLECTION_EVIDENCE_WINDOW.html,no-qmark-on-wh,'Do not mistake recording for Audience. ,s or watches — then names back the content: “You said / showed ____.” Do not mistake recording for Audience. A clip that nobody listens to has not been received. 3 min 4 · INFLUENCE Make the response change tomorrow: next instructio
GROW__SCI_G_W3A_Friction_Explore.html,space-before-punct,'\n?',"dict, before you test Which surface will let the block travel furthest ? ▲ Rough ◎ Medium ✳ Smooth Choose one. Say it, point to it, or press i"
GROW__SCI_G_W3A_Friction_Explore.html,space-before-punct,'\n?',"· evidence on Earwig R · responded / Audience happened // · self-edit ? · read this back Important: this lesson does not write codes, store p"
GROW__SCI_G_W3A_Friction_Explore.html,space-before-punct,' \n.',oing. Add all three positive distances first. The shortest distance is . In this comparison that suggests the greatest friction. Use the actua
GROW__SCI_G_W3A_Friction_Explore.html,space-before-punct,'\n:',"strip, then continue. Start again with the planet closest to the Sun. : point an imaginary gravity arrow toward the Sun and a motion arrow al"
GROW__SCI_G_W3A_Friction_Explore.html,space-before-punct,' \n.',", a drawer runner or a skate. .gl-predict .gl-btn Prediction received: . Nothing is marked. Test them and find out. <div class=""gl-name""> </di"
GROW__SCI_G_W3A_Friction_Explore.html,space-before-punct,'\n.',"m and find out. <div class=""gl-name""> </div><p style=""margin:5px 0 0""> . Each result stays on the list so you can compare them. All three are"
GROW__SCI_G_W3A_Friction_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,"question for the I Do. 🌱 Starter · make the new idea worth knowing 0 Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do · model the first concept Friction visual showing shoe grip,"
GROW__SCI_G_W3A_Friction_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,"o slow the wheel. Ask where resistance is wanted rather than reduced. Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do 2 · expand or connect Secure → unfamiliar example/reduce prom"
GROW__SCI_G_W3A_Friction_Explore.html,no-qmark-on-wh,"'What I said, and what it changed. Write","changes because of it. 🎫 Exit ticket · response becomes the next step What I said, and what it changed. Write one line about what you said today and what changed because of it. What I said, and what it changed Write your own line here, or an adult"
GROW__SCI_G_W3B_Friction_Do.html,space-before-punct,'\n?',"· evidence on Earwig R · responded / Audience happened // · self-edit ? · read this back Important: this lesson does not write codes, store p"
GROW__SCI_G_W3B_Friction_Do.html,space-before-punct,' \n.',oing. Add all three positive distances first. The shortest distance is . In this comparison that suggests the greatest friction. Use the actua
GROW__SCI_G_W3B_Friction_Do.html,space-before-punct,'\n:',"strip, then continue. Start again with the planet closest to the Sun. : point an imaginary gravity arrow toward the Sun and a motion arrow al"
GROW__SCI_G_W3B_Friction_Do.html,space-before-punct,' \n.',"g does not fit the other two. .gl-predict .gl-btn Prediction received: . Nothing is marked. Test them and find out. <div class=""gl-name""> </di"
GROW__SCI_G_W3B_Friction_Do.html,space-before-punct,'\n.',"m and find out. <div class=""gl-name""> </div><p style=""margin:5px 0 0""> . Each result stays on the list so you can compare them. All three are"
GROW__SCI_G_W3B_Friction_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,"question for the I Do. 🌱 Starter · make the new idea worth knowing 0 Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do · model the first concept Friction visual showing shoe grip,"
GROW__SCI_G_W3B_Friction_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,"e. If two things change, you cannot tell which caused the difference. Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do 2 · expand or connect Secure → unfamiliar example/reduce prom"
GROW__SCI_G_W3B_Friction_Do.html,no-qmark-on-wh,"'What I said, and what it changed. Write","changes because of it. 🎫 Exit ticket · response becomes the next step What I said, and what it changed. Write one line about what you said today and what changed because of it. What I said, and what it changed Write your own line here, or an adult"
GROW__SCI_G_W4A_Mechanisms_Explore.html,space-before-punct,'\n?',"· evidence on Earwig R · responded / Audience happened // · self-edit ? · read this back Important: this lesson does not write codes, store p"
GROW__SCI_G_W4A_Mechanisms_Explore.html,space-before-punct,' \n.',oing. Add all three positive distances first. The shortest distance is . In this comparison that suggests the greatest friction. Use the actua
GROW__SCI_G_W4A_Mechanisms_Explore.html,space-before-punct,'\n:',"strip, then continue. Start again with the planet closest to the Sun. : point an imaginary gravity arrow toward the Sun and a motion arrow al"
GROW__SCI_G_W4A_Mechanisms_Explore.html,space-before-punct,' \n.',", direction or turning force. .mh-predict .mh-btn Prediction received: . Nothing is marked. Test all three and find out. <div class=""mh-name"">"
GROW__SCI_G_W4A_Mechanisms_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,"question for the I Do. 🌱 Starter · make the new idea worth knowing 0 Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do · model the first concept Lever pulley and gears visual Secur"
GROW__SCI_G_W4A_Mechanisms_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,"vide the effort. The pivot is the fixed point the lever turns around. Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do 2 · expand or connect Secure → unfamiliar example/reduce prom"
GROW__SCI_G_W4A_Mechanisms_Explore.html,no-qmark-on-wh,"'What I said, and what it changed. Write","changes because of it. 🎫 Exit ticket · response becomes the next step What I said, and what it changed. Write one line about what you said today and what changed because of it. What I said, and what it changed Write your own line here, or an adult"
GROW__SCI_G_W4B_Mechanisms_Do.html,space-before-punct,'\n?',"redict, before you test Where should the pivot go for the least effort ? ▲ Near the load ◎ In the middle ✳ Near your hands Choose one. Say it,"
GROW__SCI_G_W4B_Mechanisms_Do.html,space-before-punct,'\n?',"· evidence on Earwig R · responded / Audience happened // · self-edit ? · read this back Important: this lesson does not write codes, store p"
GROW__SCI_G_W4B_Mechanisms_Do.html,space-before-punct,' \n.',oing. Add all three positive distances first. The shortest distance is . In this comparison that suggests the greatest friction. Use the actua
GROW__SCI_G_W4B_Mechanisms_Do.html,space-before-punct,'\n:',"strip, then continue. Start again with the planet closest to the Sun. : point an imaginary gravity arrow toward the Sun and a motion arrow al"
GROW__SCI_G_W4B_Mechanisms_Do.html,space-before-punct,' \n.',"ift the load the same height. .gl-predict .gl-btn Prediction received: . Nothing is marked. Test them and find out. <div class=""gl-name""> </di"
GROW__SCI_G_W4B_Mechanisms_Do.html,space-before-punct,'\n.',"m and find out. <div class=""gl-name""> </div><p style=""margin:5px 0 0""> . Each result stays on the list so you can compare them. All three are"
GROW__SCI_G_W4B_Mechanisms_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,"question for the I Do. 🌱 Starter · make the new idea worth knowing 0 Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do · model the first concept Lever pulley and gears visual Secur"
GROW__SCI_G_W4B_Mechanisms_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,"h a greater distance. Think about the longer effort arm in the model. Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do 2 · expand or connect Secure → unfamiliar example/reduce prom"
GROW__SCI_G_W4B_Mechanisms_Do.html,no-qmark-on-wh,"'What I said, and what it changed. Write","changes because of it. 🎫 Exit ticket · response becomes the next step What I said, and what it changed. Write one line about what you said today and what changed because of it. What I said, and what it changed Write your own line here, or an adult"
GROW__SCI_G_W5A_Fair_Test_Explore.html,space-before-punct,'\n?',"does surface affect how far the trolley rolls? What should we measure ? ▲ Distance rolled ◎ Ramp height ✳ Time of day Choose one. Say it, poi"
GROW__SCI_G_W5A_Fair_Test_Explore.html,space-before-punct,'\n?',"· evidence on Earwig R · responded / Audience happened // · self-edit ? · read this back Important: this lesson does not write codes, store p"
GROW__SCI_G_W5A_Fair_Test_Explore.html,space-before-punct,' \n.',oing. Add all three positive distances first. The shortest distance is . In this comparison that suggests the greatest friction. Use the actua
GROW__SCI_G_W5A_Fair_Test_Explore.html,space-before-punct,'\n:',"strip, then continue. Start again with the planet closest to the Sun. : point an imaginary gravity arrow toward the Sun and a motion arrow al"
GROW__SCI_G_W5A_Fair_Test_Explore.html,space-before-punct,' \n.',"lls us nothing about surface. .gl-predict .gl-btn Prediction received: . Nothing is marked. Test them and find out. <div class=""gl-name""> </di"
GROW__SCI_G_W5A_Fair_Test_Explore.html,space-before-punct,'\n.',"m and find out. <div class=""gl-name""> </div><p style=""margin:5px 0 0""> . Each result stays on the list so you can compare them. All three are"
GROW__SCI_G_W5A_Fair_Test_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,"question for the I Do. 🌱 Starter · make the new idea worth knowing 0 Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do · model the first concept Fair test visual showing change mea"
GROW__SCI_G_W5A_Fair_Test_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,"dependent variable. The dependent variable is the thing you measure. Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do 2 · expand or connect Secure → unfamiliar example/reduce prom"
GROW__SCI_G_W5A_Fair_Test_Explore.html,no-qmark-on-wh,"'What I said, and what it changed. Write","changes because of it. 🎫 Exit ticket · response becomes the next step What I said, and what it changed. Write one line about what you said today and what changed because of it. What I said, and what it changed Write your own line here, or an adult"
GROW__SCI_G_W5B_Fair_Test_Do.html,space-before-punct,'\n?',"edict, before you test Which set of three repeats would you trust most ? ▲ Set A ◎ Set B ✳ Set C Choose one. Say it, point to it, or press it."
GROW__SCI_G_W5B_Fair_Test_Do.html,space-before-punct,'\n?',"· evidence on Earwig R · responded / Audience happened // · self-edit ? · read this back Important: this lesson does not write codes, store p"
GROW__SCI_G_W5B_Fair_Test_Do.html,space-before-punct,' \n.',oing. Add all three positive distances first. The shortest distance is . In this comparison that suggests the greatest friction. Use the actua
GROW__SCI_G_W5B_Fair_Test_Do.html,space-before-punct,'\n:',"strip, then continue. Start again with the planet closest to the Sun. : point an imaginary gravity arrow toward the Sun and a motion arrow al"
GROW__SCI_G_W5B_Fair_Test_Do.html,space-before-punct,' \n.',"the method is not controlled. .gl-predict .gl-btn Prediction received: . Nothing is marked. Test them and find out. <div class=""gl-name""> </di"
GROW__SCI_G_W5B_Fair_Test_Do.html,space-before-punct,'\n.',"m and find out. <div class=""gl-name""> </div><p style=""margin:5px 0 0""> . Each result stays on the list so you can compare them. All three are"
GROW__SCI_G_W5B_Fair_Test_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,"question for the I Do. 🌱 Starter · make the new idea worth knowing 0 Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do · model the first concept Fair test visual showing change mea"
GROW__SCI_G_W5B_Fair_Test_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,"eat if useful. Unexpected data is information before it is a problem. Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do 2 · expand or connect Secure → unfamiliar example/reduce prom"
GROW__SCI_G_W5B_Fair_Test_Do.html,no-qmark-on-wh,"'What I said, and what it changed. Write","changes because of it. 🎫 Exit ticket · response becomes the next step What I said, and what it changed. Write one line about what you said today and what changed because of it. What I said, and what it changed Write your own line here, or an adult"
GROW__SCI_G_W5B_Fair_Test_Do.html,straight-apostrophe,"""r's""",exact words. Next step up: Standard — Week 4: what does moving a lever's pivot change? R3 Week 3 Say which surface gripped most. Non-reading r
GROW__SCI_G_W5B_Fair_Test_Do.html,straight-apostrophe,"""r's""","r the result means anything. R2 Week 4 Week 4: what does moving a lever's pivot change? Non-reading route: point to it, say it, or show it. An"
GROW__SCI_G_W5B_Fair_Test_Do.html,straight-apostrophe,"""r's""",. Name each for our test. R2 · Week 4: Week 4: what does moving a lever's pivot change? R3 · Week 3: Week 3: which surface gave the most fricti
GROW__SCI_G_W5B_Fair_Test_Do.html,straight-apostrophe,"""r's""","keep the same. Name each for our test. Week 4: what does moving a lever's pivot change? Week 3: which surface gave the most friction, and how d"
GROW__SCI_G_W6A_Earth_And_Planets_Explore.html,space-before-punct,'\n?',"· evidence on Earwig R · responded / Audience happened // · self-edit ? · read this back Important: this lesson does not write codes, store p"
GROW__SCI_G_W6A_Earth_And_Planets_Explore.html,space-before-punct,' \n.',oing. Add all three positive distances first. The shortest distance is . In this comparison that suggests the greatest friction. Use the actua
GROW__SCI_G_W6A_Earth_And_Planets_Explore.html,space-before-punct,'\n:',"strip, then continue. Start again with the planet closest to the Sun. : point an imaginary gravity arrow toward the Sun and a motion arrow al"
GROW__SCI_G_W6A_Earth_And_Planets_Explore.html,space-before-punct,' \n.',"away and nothing pulls it in. .gl-predict .gl-btn Prediction received: . Nothing is marked. Test them and find out. <div class=""gl-name""> </di"
GROW__SCI_G_W6A_Earth_And_Planets_Explore.html,space-before-punct,'\n.',"m and find out. <div class=""gl-name""> </div><p style=""margin:5px 0 0""> . Each result stays on the list so you can compare them. All three are"
GROW__SCI_G_W6A_Earth_And_Planets_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,"question for the I Do. 🌱 Starter · make the new idea worth knowing 0 Do not run a second explanation over the teacher. If secure, reduce proximity; if access is the barrier, quietly change modality. 👩‍🏫 I Do · model the first concept Solar System visual with the Sun an"
