pathway,week,file,verdict,surface,location,current_text,issue,science_reason,severity,fix_type,proposed_text,lead_ref
BUILD,W4,SCI_B_W4A_Muscles_Explore.html,AMBIGUOUS,both,"arrival slide (data-type=""arrival"") → div.box.scaf; repeated verbatim in .printpack as ""Previous lesson retrieval""",Aut1·W3 — vertebrates have an internal skeleton/backbone that provides structure.,"Same gap as W4B, one tier deep. The box states only the vertebrate half, but the arrival asks the invertebrate half at Standard and Stretch: ""3 · Week 3 again: Say how a crab is supported with no backbone."" and ""3 · Week 3 again: Explain one way an invertebrate is held up without a backbone."" The entry route claims ""Everything you need is in the box above"". For comparison, W3B's own box does carry both halves: ""W3A — vertebrate = internal backbone; invertebrates can use shells, hard outer cases or fluid support.""","The statement present is scientifically correct; it is simply incomplete relative to the questions the same slide asks, so the declared support route does not hold.",low,PROPOSED,Aut1·W3 — vertebrates have an internal skeleton/backbone that provides structure; invertebrates have no backbone and use a hard outer case or fluid support instead.,extension of the BUILD W3B arrival-framing lead
BUILD,W4,SCI_B_W4A_Muscles_Explore.html,AMBIGUOUS,screen,"We Do 2 slide (data-type=""wedo"", Muscle Pair Lab) → mDraw() default/no-direction branch, which is what runs on load (mDraw(0,null)) and after ↺ RESET. Byte-identical line in SCI_B_W4B_Muscle_Model_Do.html.",else{bi.textContent='Biceps: look after a movement';tri.textContent='Triceps: look after a movement'},"The intended reading is ""look, after a movement"", but ""look after"" is a fixed English phrase meaning ""take care of"". For the SEND cohort this file is written for — and for the text-to-speech route the same file provides — the readout is most naturally parsed as ""the biceps looks after a movement"", which asserts something false about what a muscle does. It is also inconsistent with the static HTML it overwrites on load (""Biceps: press a control first"").","Read the natural way, the string attributes a controlling/caretaking role to the biceps rather than the pull it actually exerts, which cuts against the lesson's one science rule (""A muscle can only PULL"").",low,ONE-LINE-REWORD,"else{bi.textContent='Biceps: move the model, then look';tri.textContent='Triceps: move the model, then look'}",none
BUILD,W4,SCI_B_W4B_Muscle_Model_Do.html,AMBIGUOUS,print,".printpack → second .pp → div#print-witness → Assessor Witness Statement, ""Lesson"" table row",Muscles Work in Pairs — BUILD Science · Week 4 (40-min route · Do),"The row is labelled ""Lesson"" but names W4A's title. This file's lesson is ""Build a Working Muscle Model"" (its own <title>, print h1 and LO all say so). The three ""Observed in this lesson"" ticks are likewise W4A's (""Named biceps and triceps as a working pair. / Stated that muscles pull and never push. / Demonstrated contract / relax on a model."") and do not cover W4B's own success criterion ""Explain one strength and one limitation of the model"". This is a suite-wide convention, not a one-off: every B lesson (W3B, W5B, W6B, W7B) carries its A partner's title and tick list, so it looks like a deliberate week-level witness sheet — but the field label says ""Lesson"" and the route suffix says ""· Do"", so as printed it misidentifies the session on an awarding-body evidence record (Pearson Entry Level Science 8939).","No science error. An assessment-record accuracy issue: the witness statement names a different lesson from the one it is bound to, and omits the limitation criterion W4B actually assesses.",low,PROPOSED,Build a Working Muscle Model — BUILD Science · Week 4 (40-min route · Do),none — surfaced by cross-pathway check 8
BUILD,W5,SCI_B_W5B_Nutrition_Mission_Do.html,WRONG,print,"printpack · pp 2 · Assessor Witness Statement · ""Lesson"" table row","<td style=""padding:7px 8px;border:1px solid #999"">What a Body Needs — BUILD Science · Week 5 (40-min route · Do)</td>","The printed assessor witness statement in W5B names the lesson as ""What a Body Needs"", which is the W5A lesson. Every other surface of this file (browser title, title slide h1, printpack h1, evidence capture sheet, index.html, the daily-reflection window) names it ""Nutrition Mission"". The witness statement is the awarding-body evidence record (Pearson Entry Level Science 8939 / AQA UAS), so the wrong lesson name is carried into the assessment file.","Not a science error in itself, but a self-contradiction across surfaces of the same lesson: the assessor record attributes the observed work to a different lesson (W5A, LO 'name different jobs food helps a body to do'), whose objective is not what W5B assesses ('use food-job information to make and explain a sensible scientific choice').",medium,MECHANICAL-FIX,"<td style=""padding:7px 8px;border:1px solid #999"">Nutrition Mission — BUILD Science · Week 5 (40-min route · Do)</td>",none — found in the bytes during the parity sweep
BUILD,W5,SCI_B_W5B_Nutrition_Mission_Do.html,AMBIGUOUS,print,"printpack · pp 2 · Assessor Witness Statement · ""Observed in this lesson"" checkboxes","<p style=""margin:0 0 5px"">☐ Named at least two jobs that food does.</p>
<p style=""margin:0 0 5px"">☐ Matched foods to jobs on the sort.</p>
<p style=""margin:0 0 5px"">☐ Explained why variety matters using 'because'.</p>","W5B's witness checkboxes are byte-identical to W5A's and describe W5A's outcomes (naming jobs, matching foods to jobs, explaining variety with 'because'). They do not match W5B's stated success criteria on the same file's title slide — ""Choose examples that cover different jobs or species needs"", ""Explain choices without personal diet judgement"", ""Change a choice when new evidence shows a better match"" — nor its Exit tiers (point to a card and give its job / explain one choice using a body job / explain how feedback changed or strengthened one decision). Nothing on the W5B tick-list captures the revision-after-feedback outcome the whole lesson is built to evidence.","The assessor record must record what the lesson actually elicits. W5B's Science is claim → evidence → revise; 'explained why variety matters using because' is W5A's Stretch outcome and is not taught or asked anywhere in W5B, so a tick against it is unevidenced.",medium,PROPOSED,"<p style=""margin:0 0 5px"">☐ Chose examples that cover more than one body job.</p>
<p style=""margin:0 0 5px"">☐ Explained a choice using a body job, not a judgement.</p>
<p style=""margin:0 0 5px"">☐ Changed or strengthened a choice after adult feedback.</p>",none — found in the bytes during the teacher-doc consistency check
BUILD,W5,SCI_B_W5A_Body_Needs_Explore.html,AMBIGUOUS,screen,"independent slide · .practical .pr-cell ""Safety / sensory"" (and the identical copy in the Media aside, .box.scaf ""BUILD protection rule"")","No tasting. Check allergy/sensory context before real packaging enters the room. Zero calorie, weight, restriction or ‘good/bad food’ language.","This line contemplates real food packaging entering the room (conditional on an allergy/sensory check). BUILD_SCIENCE_PRACTICALS_MATRIX.html (and the PROGRESS_SCHOOLS copy) states for the W5A row: ""Printed fictional resources only: no tasting, no real food, no allergy exposure, no personal-meal questions."" — and the W6 row makes the intent explicit with ""no real food or packaging"". The lesson's own Equipment cell lists only ""Food picture cards/clean unopened packaging images"", i.e. images, not physical packaging. So the teacher doc and the lesson give staff two different answers on whether real packaging may be brought in.","Safeguarding/allergy contradiction between a teacher doc and the live lesson on the same practical, in a SEND setting where the matrix is the authority staff prepare from. The three surfaces should state one rule.",medium,PROPOSED,"No tasting. Printed cards and images only — no real food or packaging in the room. Zero calorie, weight, restriction or ‘good/bad food’ language.",none — surfaced by cross-pathway check 8 (teacher docs must contradict no lesson)
BUILD,W5,SCI_B_W5A_Body_Needs_Explore.html,DISTRACTOR-BY-DESIGN,both,"exit slide · data-tier=""Supported"" (screen) and printpack pp 2 ""Supported:"" (print) — identical bytes",Which job can bread/rice help with: energy / backbone?,"The stem asks for a job, but one of the two offered answers (""backbone"") is a body structure from W3, not a job. The intended answer, energy, is unambiguous and is exactly what the We Do 2 carbohydrate evidence card supports.","Not scientifically false: at Supported tier a two-way forced choice where the lure is a category-mismatch retrieval item from W3 is a legitimate maximum-access design, and it cannot be answered wrongly by a pupil who has the Science. Screen and print wording match byte for byte.",low,NO-ACTION,,none
BUILD,W6,SCI_B_W6A_Balanced_Plate_Explore.html,WRONG,screen,"slide data-type=""wedo"" (We Do · everyone commits), the .soft wrapper's data-h retry feedback","Balance is a pattern, not five identical sections or a ban list.","The retry feedback names FIVE sections, but this lesson's plate model has FOUR groups throughout: the hero SVG paints four sectors labelled FRUIT & VEG / STARCHY / PROTEIN / DAIRY / ALT., the Food Pattern Lab offers exactly four targets (fruitveg, starchy, protein, dairy), and the success criterion is 'Name the groups shown on the lesson plate.' A pupil who answers wrongly is corrected with a number that contradicts the model in front of them. (The Eatwell Guide's five segments include oils & spreads, which this lesson deliberately does not teach.)","Self-contradictory within the lesson: the taught model has four groups, so 'five identical sections' is factually wrong about the model being described. The pedagogical point (balance is not equal portions) is correct and is preserved by correcting the number.",medium,MECHANICAL-FIX,"Balance is a pattern, not four identical sections or a ban list.",
BUILD,W6,SCI_B_W6A_Balanced_Plate_Explore.html,AMBIGUOUS,both,"slide data-type=""arrival"", Supported tier, question 3 (Older learning); repeated verbatim in the printpack 'Arrival (Supported forms)' line as item 3",Point to the muscle that contracts in the model.,"In the W4 model arm both muscles contract — the biceps contracts to bend, the triceps contracts to straighten — so as written the question has two defensible answers and no way to mark it. The same retrieval prompt in the sibling lesson SCI_B_W5A_Body_Needs_Explore.html is written correctly as 'Point to the muscle that contracts to bend the arm.' and the in-file arm() model confirms both states ('Bend: biceps pulls…' / 'Straighten: triceps pulls. The jobs swap.'). This is the Supported tier, where a pupil pointing at the triceps would be told they were wrong on a question that permits it.",Antagonistic muscle pairs alternate: neither muscle is 'the' one that contracts. Naming the movement fixes the referent without raising demand.,medium,MECHANICAL-FIX,Point to the muscle that contracts to bend the arm.,
BUILD,W6,SCI_B_W6A_Balanced_Plate_Explore.html,WRONG,screen,"slide data-type=""independent"", .practical > .pr-cell 'Safety / sensory'; identical sentence repeated in the <aside class=""media""> 'BUILD protection rule' box",Check allergies before real packaging is handled.,"Cross-check 8 (teacher docs must contradict no lesson) fails here. BUILD_SCIENCE_PRACTICALS_MATRIX.html and BUILD_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html both state for W6A: 'Printed fictional resources only — no tasting, no real food or packaging, no allergy exposure.' The lesson instead permits real packaging to be handled. The lesson also contradicts itself: its own Equipment cell lists 'optional unopened packaging images.' (images), not real packs. Two occurrences of this sentence in the file.","Not a science error but a safety/safeguarding contradiction between the practicals matrix (authority for equipment and hazard) and the live lesson, in a SEND setting where allergen exposure is the controlled risk. The matrix and the lesson's own equipment list agree on images; the safety line is the outlier.",medium,ONE-LINE-REWORD,Use printed packaging images only — no real food or packaging in the room.,
BUILD,W6,SCI_B_W6B_Balanced_Plate_Do.html,WRONG,screen,"slide data-type=""wedo"" (We Do · everyone commits), commit-before-reveal stem",What is the best improvement to an unlabeled plate model?,"US spelling in a file declared lang=""en-GB"" that uses the UK form 'labelled' four times elsewhere (success criteria 'Build a labelled model…', Supported route 'The plate sections are labelled for you.'). The stem is displayed on screen and is read aloud by the speech route.",Not a science error; an internal spelling inconsistency in live UK teaching material where the same root word is spelled both ways within one lesson.,low,MECHANICAL-FIX,What is the best improvement to an unlabelled plate model?,
BUILD,W6,SCI_B_W6A_Balanced_Plate_Explore.html,AMBIGUOUS,print,"printpack, second .pp page, Assessor Witness Statement, 'Observed in this lesson' checklist, item 2",☐ Sorted eight foods into correct groups.,"The Supported route in the same pack is explicitly six cards ('◆ Use a plate mat. It has group names and icons. Sort a set of six cards.'); only Standard uses eight ('▲ Place all eight cards.'). A pupil who works the Supported route and sorts all six correctly can never have this observable ticked, so the witness statement under-records them on the tier the pack itself directed them to. The identical byte is present in SCI_B_W6B_Balanced_Plate_Do.html (whose routes never specify a card count at all) — apply any fix to both files.",The assessment record fixes a quantity the differentiated routes deliberately vary; removing the number keeps the observable true at every tier while the 'Ring the tier the pupil actually worked at' table already records the level.,low,PROPOSED,☐ Sorted foods into correct groups.,
BUILD,W6,SCI_B_W6A_Balanced_Plate_Explore.html,AMBIGUOUS,print,"printpack, first .pp page, <p class=""pentry""> immediately under the Name/Date line","<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>New to this class, or not sure?</b> Everything you need is in the box above — read it, then answer.</p>","Screen/print parity break in the deixis. On screen the same sentence sits in the .entry-route div directly BELOW the 'Retrieve the actual previous lesson' box, so 'the box above' is correct. On the printed pack the sentence is placed second on the sheet — above the objective, the model note and the retrieval paragraph — so 'the box above' points at the Name/Date rule and the retrieval content it means is three paragraphs BELOW. The identical byte is present in SCI_B_W6B_Balanced_Plate_Do.html, and the pattern is template-wide across the BUILD v3 pack (W3A, W5B, W7B all carry it), so the owner may prefer a single template fix.","Not a science error; a printed instruction that directs a new or uncertain pupil to the wrong place on the page, which is exactly the pupil the entry route exists for.",low,ONE-LINE-REWORD,"<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>New to this class, or not sure?</b> Everything you need is in the previous-lesson box further down this sheet — read it, then answer.</p>",
BUILD,W7,SCI_B_W7A_Food_Sources_Explore.html,OVER-PITCHED,both,"data-type=""independent"" · Stretch route (class=""route h"") AND printpack proute stretch — identical bytes on both surfaces",Build two paths. Then take one food source away. What would change? Say what might happen next.,"The first clause still uses over-certain prediction language. ""What would change?"" asserts that a determinate change follows from removing a food source, and it sits oddly against the second clause, which has already been softened to ""might"". The sister lesson W7B states the correct epistemic stance explicitly (""the chain evidence suggests could happen next. A model suggests — it cannot prove""), so W7A is out of step with its own pair. Screen and print carry the same bytes, so both occurrences need the same edit to preserve parity.","A three-link teaching chain is a simplified model of a food web. Removing one food source in a real habitat may produce several outcomes (the consumer switches food source, moves, its population falls) or, where alternative routes exist, little measurable change. The lesson's own model caveat on the I Do 2 slide already says ""A three-link chain is a simple model. Real feeding is a bigger web, and it can change"" — so asserting a definite consequence contradicts the caveat the same lesson supplies.",medium,ONE-LINE-REWORD,Build two paths. Then take one food source away. What might change? Say what could happen next.,BUILD W7A: 'What would change? Say what would happen next.' should be 'What might change? Say what could happen next.'
BUILD,W7,SCI_B_W7B_Food_Chain_Do.html,OVER-PITCHED,screen,"data-type=""ido"" · ""I Do 2 · connect the second idea"" · third model-step in div id=""W7B-2""",Model a stretch question: what happens if one food source becomes unavailable?,"The teacher-modelled stretch question uses certain language (""what happens if""), which undercuts the hedged wording this lesson uses everywhere else. The Independent Stretch route and the Exit Stretch stem in the same file both say ""the chain evidence suggests could happen"", and the model caveat directly below on the same slide says the chain ""cannot prove what a real habitat would do"". The modelled question therefore teaches a stronger claim than the task it is modelling for. Screen only — this step is not carried into the print pack.","A single three-link chain supports inference, not prediction of a determinate outcome. If a food source becomes unavailable the consumer may switch prey, relocate, or decline — the model constrains none of these. The correct modelled command is tentative, matching the caveat already on the same slide.",medium,ONE-LINE-REWORD,Model a stretch question: what might happen if one food source becomes unavailable?,BUILD W7B I Do 2: 'what happens if...' should be 'what might happen if...'
BUILD,W7,SCI_B_W7A_Food_Sources_Explore.html,AMBIGUOUS,teacher-doc,"printpack · div id=""print-witness"" · Assessor Witness Statement · ""Observed in this lesson"" checklist, item 1",☐ Identified producer and consumer correctly.,"The assessor is asked to witness a pupil identifying a ""producer"" and a ""consumer"", but neither word appears anywhere else in W7A or in W7B — ""producer"" and ""consumer"" occur exactly once per file, only in this checkbox. The taught vocabulary is FOOD SOURCE, FOOD CHAIN and the lab's slot labels ""1 · FOOD SOURCE"" / ""2 · ANIMAL THAT EATS IT"". Every other week in this pack ties its witness checklist to vocabulary the lesson actually teaches (W3 vertebrate/invertebrate, W4 biceps/triceps, W5 food jobs, W6 food groups), so W7 is the single break in the convention. A teacher completing the record either ticks a term never introduced or leaves the box unticked for a pupil who met the objective.","""Producer"" and ""consumer"" are correct ecology terms but sit a level above the taught model: W7 stops at ""plants can make their own food; animals must obtain food by eating"", which is the precursor to producer/consumer, not the same statement. Assessing against an unintroduced term misrecords what was observed.",medium,MECHANICAL-FIX,☐ Identified the food source and the animal that eats it.,cross-pathway check 8 — teacher docs / assessor records must contradict no lesson
BUILD,W7,SCI_B_W7B_Food_Chain_Do.html,AMBIGUOUS,teacher-doc,"printpack · div id=""print-witness"" · Assessor Witness Statement · ""Observed in this lesson"" checklist, item 1",☐ Identified producer and consumer correctly.,"Same defect as W7A. ""producer"" and ""consumer"" appear exactly once in this file — in this checkbox — and are taught nowhere in W7A or W7B. W7B's own key words are RELATIONSHIP, REVISE and FOOD CHAIN, and its lab labels the slots ""1 · FOOD SOURCE"" and ""2 · ANIMAL THAT EATS IT"". The two neighbouring checkboxes (""Read the arrow as 'is eaten by'"" and ""Built a correctly ordered food chain"") do match the lesson, so only this line is out of range.","The terms are ecologically correct but pitched above the model W7 teaches. W7 establishes only the plant/animal food-getting contrast; naming trophic roles is the next step, not this one. Witnessing against it records something the lesson never gave the pupil a route to demonstrate.",medium,MECHANICAL-FIX,☐ Identified the food source and the animal that eats it.,cross-pathway check 8 — teacher docs / assessor records must contradict no lesson
