pathway,week,file,severity,fix_type,quoted,issue,disposition
GROW,W5,SCI_G_W5B_Fair_Test_Do.html,medium,MECHANICAL-FIX,"<div class=""print-box"">★ Calculate means, identify unusual variation and evaluate one specific improvement.</d",SCREEN/PRINT PARITY BREAK. Screen Stretch route card is '★ Work out the mean for each surface. Look for unusual variation. Then evaluate one improveme,PROPOSED / not applied
GROW,W4,SCI_G_W4B_Mechanisms_Do.html,medium,ONE-LINE-REWORD,Moving the pivot makes lifting easier. Predict what gets harder at the same time.,Stated as an unconditional fact. Moving the pivot does not make lifting easier — it depends which way it moves. This lesson's own We Do lab teaches th,PROPOSED / not applied
GROW,W4,GROW_SCIENCE_PRACTICALS_MATRIX.html,medium,MECHANICAL-FIX,It covers the lever station only — pulleys and gears have no installed digital route in this lesson.,"False against the live W4A file. SCI_G_W4A_Mechanisms_Explore.html ships a Mechanism Hunt in We Do 2 with ""Test LEVER / Test PULLEY / Test GEARS"" butt",PROPOSED / not applied
GROW,W4,SCI_G_W4B_Mechanisms_Do.html,medium,MECHANICAL-FIX,"☐ Named lever, pulley and gear with one example each.</p><p style=""margin:0 0 5px"">☐ Identified the pivot corr","W4B's witness statement carries W4A's criteria verbatim. W4B's own success criteria are ""I can set up a lever safely / I can compare at least two pivo",PROPOSED / not applied
GROW,W4,SCI_G_W4B_Mechanisms_Do.html,low,MECHANICAL-FIX,"Levers, Pulleys and Gears — GROW Science · Week 4 (40-min route · Do)","The witness statement names W4A's lesson title. W4B's own title, on the title slide and at the head of the same print pack, is ""Mechanisms: Lever Inve",PROPOSED / not applied
GROW,W6,SCI_G_W6B_Earth_And_Planets_Do.html,high,MECHANICAL-FIX,"Planets in the right proportions. But if Earth is a 1 cm bead, Neptune sits about 1.2 km away - the distances ","The scale figure is wrong by roughly a factor of three. Pupils are told to use the frozen results as evidence, so the wrong number is the evidence bas",FIXED 8084da9
GROW,W6,SCI_G_W6B_Earth_And_Planets_Do.html,medium,ONE-LINE-REWORD,"<p style=""margin:0 0 5px"">☐ Classified planets as rocky or giant.</p>",The W6B Assessor Witness Statement is a verbatim copy of W6A's. It records a criterion W6B neither teaches nor assesses (rocky/giant classification ap,PROPOSED / not applied
GROW,W7,SCI_G_W7B_The_Moon_Do.html,medium,MECHANICAL-FIX,"<p style=""margin:0 0 5px"">☐ Stated that the Moon orbits Earth in about a month.</p><p style=""margin:0 0 5px"">☐","The W7B assessor witness statement records W7A's success criteria, not W7B's. W7B's own success criteria are ""I can use the model safely"", ""I can iden",PROPOSED / not applied
GROW,W7,SCI_G_W7B_The_Moon_Do.html,low,MECHANICAL-FIX,The Moon's Journey — GROW Science · Week 7 (40-min route · Do),"The W7B witness statement names the lesson ""The Moon's Journey"", which is the <h1> title of SCI_G_W7A_The_Moon_Explore.html. W7B's own <h1> is ""Moon P",PROPOSED / not applied
LAUNCH,W3,SCI_L_W3L1_Microscopy_Introduce.html,medium,MECHANICAL-FIX,"Arrival retrieves three times, then leads in. R1 is last lesson, R2 is the previous week, R3 is older material","This staff-facing note flatly contradicts the two declarations directly above it on the same slide. The box.scaf says ""Weeks 1 and 2 were baseline. Th",FIXED 927be7a
LAUNCH,W3,SCI_L_W3L2_Calculating_Magnification_Explore.html,medium,MECHANICAL-FIX,"Arrival retrieves three times, then leads in. R1 is last lesson, R2 is the previous week, R3 is older material","Same boilerplate note, same contradiction. The lq-declare above it states ""Week 3 is the first taught week. R1 recalls last lesson. R2 and R3 have no ",FIXED 927be7a
LAUNCH,W3,SCI_L_W3L3_Magnification_Lab_Do.html,medium,MECHANICAL-FIX,"Arrival retrieves three times, then leads in. R1 is last lesson, R2 is the previous week, R3 is older material","Third instance of the same boilerplate. Here it contradicts both the lq-declare (""Week 3 has no taught week behind it. R3 is a second Week 3 retrieval",FIXED 927be7a
LAUNCH,W4,SCI_L_W4L1_Diffusion_Introduce.html,medium,ONE-LINE-REWORD,"It leaves out that individual particles keep moving both ways the whole time — net movement is a balance, not ","The model-limitation caveat contradicts the ✔ line directly above it. The ✔ line says the model ""shows particles moving randomly and still producing a",FIXED 927be7a
LAUNCH,W4,SCI_L_W4L1_Diffusion_Introduce.html,medium,MECHANICAL-FIX,the difference between a crowded area and an empty one,"The WORD HELP bridge for concentration gradient defines the low-concentration side as ""empty"". A gradient runs between a higher and a LOWER concentrat",FIXED 927be7a
LAUNCH,W4,SCI_L_W4L2_Diffusion_Lungs_Explore.html,medium,MECHANICAL-FIX,the difference between a crowded area and an empty one,"Same defective bridge carried into W4L2, where it does direct damage: this lesson's whole argument is that blood flow keeps a gradient steep between a",FIXED 927be7a
LAUNCH,W6,LAUNCH_SCIENCE_PRACTICALS_MATRIX.html,medium,MECHANICAL-FIX,Desk-based with no hazard. <b>Small counters and beads are a choking risk</b> — check suitability for the grou,"The cell asserts ""no hazard"" and then names a choking hazard in the next sentence. It is the only Safety cell in the matrix that does this — every oth",FIXED 927be7a
LAUNCH,W6,LAUNCH_SCIENCE_PRACTICALS_MATRIX.html,medium,PROPOSED,reveal-step buttons for the two questions that separate the three processes.,"The W6L3 reveal-step buttons do not present two questions. The three steps in id=""W6L3-1"" are ""Build a four-question comparison matrix."", ""Model a tru",PROPOSED / not applied
LAUNCH,W6,SCI_L_W6L1_Active_Transport_Introduce.html,low,MECHANICAL-FIX,"It tests three real movements into and out of cells, and freezes which of them need energy.","All three movements the lab actually offers are inward: ""Oxygen into blood"", ""Water into a root"", ""Nitrate into a root"" (JS scData: 'Oxygen into the b",FIXED 927be7a
LAUNCH,W6,SCI_L_W6L1_Active_Transport_Introduce.html,low,MECHANICAL-FIX,"<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>Not here last lesson?</b> Everything you need is ","Screen/print parity break in the pointer. On screen the .entry-route box sits directly BELOW the retrieval box, so ""above"" is correct. In the print pa",FIXED 1da0209/2fce03d/927be7a
LAUNCH,W6,SCI_L_W6L3_Compare_Transport_Do.html,low,ONE-LINE-REWORD,"Arrival retrieves three times, then leads in. R1 is last lesson, R2 is the previous week, R3 is older material","In this lesson R2 is badged ""Week 6 · lesson 1"" (this week, not the previous week) and R3 is ""Week 5"" (the previous week). The boilerplate note theref",FIXED 927be7a
LAUNCH,W7,LAUNCH_SCIENCE_PRACTICALS_MATRIX.html,medium,MECHANICAL-FIX,"<td data-l=""Digital alternative"">In-lesson <b>Topic 1 retrieval map</b> — build the connections by button, one","The teacher doc names the wrong widget and mis-states what it does. In SCI_L_W7L1 the widget headed ""🧠 Topic 1 retrieval map"" is four click-to-open de",PROPOSED / not applied
LAUNCH,W7,SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,low,MECHANICAL-FIX,"<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>Not here last lesson?</b> Everything you need is ","Screen/print reference inversion. On screen the entry-route box sits directly AFTER the retrieval box (""Retrieve the previous learning: W3–6 magnifica",FIXED 1da0209/2fce03d/927be7a
