pathway,file,slide,tier,surface,qnum,stem,encoded_answer,verdict,disposition
BUILD,SCI_B_W3A_Backbones_Explore.html,exit,,screen,,Explain how an animal can be supported even without an internal backbone.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,Supported,print,,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,Standard,print,,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,Stretch,print,,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Name: _______________________________ Date: ______________________,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,"New to this class, or not sure? Everything you need is in the box above — read it, then answer.",,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Learning objective: I can sort animals into those with a backbone and those without.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Model: helps us see — The model helps us check one feature every time: the internal backbone. Does not show — It does not show every feature. Looks alone cannot prove a classification.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Arrival — what you already know: Weeks 1 and 2 were baseline. There is no previous lesson to recall — this is where the teaching starts.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Arrival (Supported forms): 1) Point to the backbone on the skeleton picture. 2) Point to an animal card you know. 3) Point to a hard animal. Point to a soft animal. 4) Look at the crab picture. Point to its hard outside.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,"Your sorted mat and your reason. An adult may take a photo, watch you sort, or record your voice if allowed.",,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Supported: Circle the vertebrate: worm / cat.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Standard: Name one vertebrate and one invertebrate and give the test you used.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Stretch: Explain how an animal can be supported even without an internal backbone.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,"Pearson Entry Level Science 8939 (E1→E3); AQA UAS science units Records what was observed, and at which level of independence.",,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Observed in this lesson,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,☐ Located the backbone on a diagram unaided.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,☐ Sorted animals into vertebrate / invertebrate.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,☐ Gave a reason using the word 'because'.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Assessor comment,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Ring the tier the pupil actually worked at,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Assessor name ______________ Role ____________ Signature ______________ Date ________,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Date: ____________________ PUPIL / EVIDENCE ID: ____________________,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,Learning objective: I can sort animals into those with a backbone and those without.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,print,,print,,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it.",,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Supported,screen,1,Last lesson: Point to BACKBONE or NO BACKBONE for a robin.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Supported,screen,2,Last lesson: Point to the one with no backbone: the fish or the worm.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Supported,screen,3,Last lesson: Point to the backbone on the fish picture.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Supported,screen,4,Lead-in: Look at the mystery animal card. Point to one thing you notice.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Standard,screen,1,"Last lesson: Classify robin, snail and spider from the Explore lesson.",,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Standard,screen,2,Last lesson: Name one animal from last lesson with no backbone inside.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Standard,screen,3,Last lesson: Say where the backbone is on the fish picture.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Standard,screen,4,Lead-in: A detective uses clues. Say one clue an animal card could give you.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Stretch,screen,1,Last lesson: Give the rule that separates vertebrates from invertebrates.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Stretch,screen,2,Last lesson: How is a snail supported without a backbone inside?,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Stretch,screen,3,Last lesson: A crab is hard outside but is an invertebrate. Explain why.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,Stretch,screen,4,Lead-in: Which body clues would help you classify a strange animal?,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,1,Last lesson: Point to BACKBONE or NO BACKBONE for a robin.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,2,Last lesson: Point to the one with no backbone: the fish or the worm.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,3,Last lesson: Point to the backbone on the fish picture.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,4,Lead-in: Look at the mystery animal card. Point to one thing you notice.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,1,"Last lesson: Classify robin, snail and spider from the Explore lesson.",,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,2,Last lesson: Name one animal from last lesson with no backbone inside.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,3,Last lesson: Say where the backbone is on the fish picture.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,4,Lead-in: A detective uses clues. Say one clue an animal card could give you.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,1,Last lesson: Give the rule that separates vertebrates from invertebrates.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,2,Last lesson: How is a snail supported without a backbone inside?,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,3,Last lesson: A crab is hard outside but is an invertebrate. Explain why.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,arrival,,screen,4,Lead-in: Which body clues would help you classify a strange animal?,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,starter,,screen,,"Mystery creature: it has a hard outside case, many legs and no visible line of bones inside. Where would you place it — and what evidence matters?",,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,independent,,screen,,Classification field lab. Move round the room. Look at each creature card. And each model. Make two groups. Build your display. Pick two animals. Add your evidence. Say what made you sure.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,independent,,screen,,◆ Classify six creatures. Use the anchor pair. An adult reads with you. 🧰 Scaffold Keep two cards out. Match each to the anchor pair. Fish has a backbone. Crab does not. Word bank: backbone · inside · outside · support. Fade it: remove the first prompt no longer needed.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,independent,,screen,,"▲ Classify all eight creatures. Pick two. Justify each choice. 🧰 Scaffold Evidence prompt. Look inside. Is there an internal backbone? Look outside. Hard case? Or soft, fluid support? Fade it: remove the first prompt no longer needed.",,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,independent,,screen,,★ Add a creature you do not know. Not sure? Say what more evidence you need. 🧰 Scaffold Use the words ‘not a valid test’. Pick one feature that tricks you. Then reject it. Fade it: remove the first prompt no longer needed.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,exit,Supported,screen,,What one thing tells you an animal is a vertebrate?,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,exit,Standard,screen,,Classify a snake and crab and explain both.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,exit,Stretch,screen,,Explain why appearance alone can lead to a classification mistake.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,exit,,screen,,What one thing tells you an animal is a vertebrate?,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,exit,,screen,,Classify a snake and crab and explain both.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,exit,,screen,,Explain why appearance alone can lead to a classification mistake.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,Supported,print,,◆ Classify six creatures. Use the anchor pair. An adult reads with you.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,Standard,print,,▲ Classify all eight creatures. Pick two. Justify each choice.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,Stretch,print,,★ Add a creature you do not know. Not sure? Say what more evidence you need.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Name: _______________________________ Date: ______________________,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,"New to this class, or not sure? Everything you need is in the box above — read it, then answer.",,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Learning objective: I can classify unfamiliar animals using evidence about their body structure.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Model: helps us see — One classification rule stays in view while the animals change. Does not show — It uses just one rule. Real animals vary far more.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,"Previous lesson retrieval: W3A — vertebrate = internal backbone; invertebrates can use shells, hard outer cases or fluid support.",,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Arrival (Supported forms): 1) Point to BACKBONE or NO BACKBONE for a robin. 2) Point to the one with no backbone: the fish or the worm. 3) Point to the backbone on the fish picture. 4) Look at the mystery animal card. Point to one thing you notice.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,◆ Classify six creatures. Use the anchor pair. An adult reads with you.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,▲ Classify all eight creatures. Pick two. Justify each choice.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,★ Add a creature you do not know. Not sure? Say what more evidence you need.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,"Your finished sort and two reasons. A photo with notes, an adult watching you explain, or a voice clip if allowed.",,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Supported: What one thing tells you an animal is a vertebrate?,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Standard: Classify a snake and crab and explain both.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Stretch: Explain why appearance alone can lead to a classification mistake.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,"Pearson Entry Level Science 8939 (E1→E3); AQA UAS science units Records what was observed, and at which level of independence.",,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Observed in this lesson,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,☐ Located the backbone on a diagram unaided.,,AMBIGUOUS,PROPOSED: The three observation checkboxes in W3B are byte-identical to W3A's. Checkbox 1 ('Located the backbone on a diagram unai
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,☐ Sorted animals into vertebrate / invertebrate.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,☐ Gave a reason using the word 'because'.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Assessor comment,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Ring the tier the pupil actually worked at,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Assessor name ______________ Role ____________ Signature ______________ Date ________,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Date: ____________________ PUPIL / EVIDENCE ID: ____________________,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,Learning objective: I can classify unfamiliar animals using evidence about their body structure.,,CORRECT,
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,print,,print,,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it.",,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Supported,screen,1,Last lesson: Point to BACKBONE or NO BACKBONE for a snake.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Supported,screen,2,Last week: Point to the backbone on the fish picture.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Supported,screen,3,Week 3 again: Point to the crab’s hard case.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Supported,screen,4,Lead-in: Point to the place where the model arm bends.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Standard,screen,1,Last lesson: A snake has no legs. Say why it is still a vertebrate.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Standard,screen,2,Last week: Name one vertebrate and one invertebrate.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Standard,screen,3,Week 3 again: Say how a crab is supported with no backbone.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Standard,screen,4,Lead-in: The skeleton holds the body up. What do you think makes it move?,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Stretch,screen,1,Last lesson: Give the rule you used last lesson to classify a strange animal.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Stretch,screen,2,Last week: Explain what makes an animal a vertebrate.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Stretch,screen,3,Week 3 again: Explain one way an invertebrate is held up without a backbone.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,Stretch,screen,4,Lead-in: A bone cannot move itself. What might pull it? Say what you think.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,1,Last lesson: Point to BACKBONE or NO BACKBONE for a snake.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,2,Last week: Point to the backbone on the fish picture.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,3,Week 3 again: Point to the crab’s hard case.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,4,Lead-in: Point to the place where the model arm bends.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,1,Last lesson: A snake has no legs. Say why it is still a vertebrate.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,2,Last week: Name one vertebrate and one invertebrate.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,3,Week 3 again: Say how a crab is supported with no backbone.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,4,Lead-in: The skeleton holds the body up. What do you think makes it move?,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,1,Last lesson: Give the rule you used last lesson to classify a strange animal.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,2,Last week: Explain what makes an animal a vertebrate.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,3,Week 3 again: Explain one way an invertebrate is held up without a backbone.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,arrival,,screen,4,Lead-in: A bone cannot move itself. What might pull it? Say what you think.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,starter,,screen,,"A string can pull a cardboard lever, but can it push it? Test the idea on the model before we name the muscle rule.",,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,independent,,screen,,Movement engineer. Build a model arm. Or label one that is built. Bend the arm. Show which muscle contracts. Show which muscle relaxes.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,independent,,screen,,◆ Use a built arm. Place the CONTRACTS label. Place the RELAXES label. 🧰 Scaffold Two labels only. CONTRACTS = pulls. RELAXES = not pulling now. Word bank: pull · bend · muscle · pair. Fade it: remove the first prompt no longer needed.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,independent,,screen,,"▲ Work the model. Then say how the arm bends. Or write it down. 🧰 Scaffold Stem. ‘When the arm bends, ___ contracts and ___ relaxes’. Swap the two for straighten. Fade it: remove the first prompt no longer needed.",,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,independent,,screen,,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two? 🧰 Scaffold Use the words ‘muscles only pull’. So one muscle cannot push the arm back. Explain why the pair is needed. Fade it: remove the first prompt no longer needed.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,exit,Supported,screen,,Complete: muscles work in a ___.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,exit,Standard,screen,,"When the model arm bends, what does the triceps do?",,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,exit,Stretch,screen,,Explain why muscles need partners if they can only pull.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,exit,,screen,,Complete: muscles work in a ___.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,exit,,screen,,"When the model arm bends, what does the triceps do?",,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,exit,,screen,,Explain why muscles need partners if they can only pull.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,Supported,print,,◆ Use a built arm. Place the CONTRACTS label. Place the RELAXES label.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,Standard,print,,▲ Work the model. Then say how the arm bends. Or write it down.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,Stretch,print,,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two?,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Name: _______________________________ Date: ______________________,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,"New to this class, or not sure? Everything you need is in the box above — read it, then answer.",,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Learning objective: I can explain that muscles work in pairs to move a bone.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Model: helps us see — The arm model lets us see the two pulls swap. Does not show — Card and string are not real body parts. It cannot measure force or show a full elbow.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Previous lesson retrieval: Aut1·W3 — vertebrates have an internal skeleton/backbone that provides structure.,,AMBIGUOUS,"FIXED elastic->string safety (8b40204) | PROPOSED: Same gap as W4B, one tier deep. The box states only the vertebrate half, but the arrival asks the invertebrate half at S"
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Arrival (Supported forms): 1) Point to BACKBONE or NO BACKBONE for a snake. 2) Point to the backbone on the fish picture. 3) Point to the crab’s hard case. 4) Point to the place where the model arm bends.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,◆ Use a built arm. Place the CONTRACTS label. Place the RELAXES label.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,▲ Work the model. Then say how the arm bends. Or write it down.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two?,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,"Your labelled model and your demonstration. A photo with your words, an adult watching, or your words scribed.",,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Supported: Complete: muscles work in a ___.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,"Standard: When the model arm bends, what does the triceps do?",,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Stretch: Explain why muscles need partners if they can only pull.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,"Pearson Entry Level Science 8939 (E1→E3); AQA UAS science units Records what was observed, and at which level of independence.",,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Observed in this lesson,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,☐ Named biceps and triceps as a working pair.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,☐ Stated that muscles pull and never push.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,☐ Demonstrated contract / relax on a model.,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Assessor comment,,CORRECT,
BUILD,SCI_B_W4A_Muscles_Explore.html,print,,print,,Ring the tier the pupil actually worked at,,CORRECT,
