file,title,h1,enquiry,sow_strip,key_question
Art_Teesside/Launch/LAUNCH_ART_W6_Pilot_Lead_and_Adapt.html,"LAUNCH Art W6 · Pilot, Lead and Adapt","Pilot, Lead and Adapt",,Progress SoW · Arts Aut 1 · 2026–27 · LAUNCH · Week 6,"Today your project runs small — real crew, real stations, friendly guinea pigs. The pilot's job is to BITE: every problem it finds today is one Week 7 won't."
Art_Teesside/Launch/LAUNCH_ART_W7_Deliver_and_Curate_the_Arts_Project.html,LAUNCH Art W7 · Deliver and Curate the Arts Project,Deliver and Curate the Arts Project,,Progress SoW · Arts Aut 1 · 2026–27 · LAUNCH · Week 7,"The need was real, the plan was piloted, the crew is briefed. Today the machine runs for its real audience — and you lead it like the room borrowed your calm."
Art_Teesside/Launch/LAUNCH_ART_W8_Review_Influence_and_Portfolio_Audit.html,"LAUNCH Art W8 · Review, Influence and Portfolio Audit","Review, Influence and Portfolio Audit",,Progress SoW · Arts Aut 1 · 2026–27 · LAUNCH · Week 8,Week 5 set the aim in numbers. Week 7 banked the receipts. Today the review reads them without flinching — and the whole Silver portfolio closes behind it.
BUILD_ASDAN/Careers/CAREERS_W1_My_Strengths.html,BUILD ASDAN · Careers & Work slot W1 · My Strengths,My Strengths,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Careers & Work slot · Week 1,What are we building today — and where does the evidence go?
BUILD_ASDAN/Careers/CAREERS_W2_Jobs_in_My_Community.html,BUILD ASDAN · Careers & Work slot W2 · Jobs in My Community,Jobs in My Community,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Careers & Work slot · Week 2,What are we building today — and where does the evidence go?
BUILD_ASDAN/Careers/CAREERS_W3_Skills_Employers_Want.html,BUILD ASDAN · Careers & Work slot W3 · Skills Employers Want,Skills Employers Want,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Careers & Work slot · Week 3,What are we building today — and where does the evidence go?
BUILD_ASDAN/Careers/CAREERS_W4_Routines_and_Reliability.html,BUILD ASDAN · Careers & Work slot W4 · Routines &amp; Reliability,Routines &amp; Reliability,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Careers & Work slot · Week 4,What are we building today — and where does the evidence go?
BUILD_ASDAN/Careers/CAREERS_W5_Applying_Myself.html,BUILD ASDAN · Careers & Work slot W5 · Applying Myself,Applying Myself,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Careers & Work slot · Week 5,What are we building today — and where does the evidence go?
BUILD_ASDAN/Careers/CAREERS_W6_My_Career_Profile.html,BUILD ASDAN · Careers & Work slot W7 · My Career Profile,My Career Profile,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Careers & Work slot · Week 7,What are we building today — and where does the evidence go?
BUILD_ASDAN/Careers/CAREERS_W7_After_Year_11.html,BUILD ASDAN · Careers & Work slot W6 · What Happens After Year 11,What Happens After Year 11,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Careers & Work slot · Week 6,What are we building today — and where does the evidence go?
BUILD_ASDAN/Community_Project/COMM_W1_Choose_Our_Asset.html,BUILD ASDAN · Community evidence W1 · Choose Our Asset,Choose Our Asset,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Community evidence · Week 1,What are we building today — and where does the evidence go?
BUILD_ASDAN/Community_Project/COMM_W2_The_Site's_Need.html,BUILD ASDAN · Community evidence W2 · The Site's Need,The Site's Need,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Community evidence · Week 2,What are we building today — and where does the evidence go?
BUILD_ASDAN/Community_Project/COMM_W3_Our_Team_Roles.html,BUILD ASDAN · Community evidence W3 · Our Team Roles,Our Team Roles,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Community evidence · Week 3,What are we building today — and where does the evidence go?
BUILD_ASDAN/Community_Project/COMM_W4_Partner_Update.html,BUILD ASDAN · Community evidence W4 · Partner Update,Partner Update,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Community evidence · Week 4,What are we building today — and where does the evidence go?
BUILD_ASDAN/Community_Project/COMM_W5_Plan_the_Handover.html,BUILD ASDAN · Community evidence W5 · Plan the Handover,Plan the Handover,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Community evidence · Week 5,What are we building today — and where does the evidence go?
BUILD_ASDAN/Community_Project/COMM_W6_The_Handover_and_Its_Benefit.html,BUILD ASDAN · Community evidence W6 · The Handover &amp; Its Benefit,The Handover &amp; Its Benefit,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Community evidence · Week 6,What are we building today — and where does the evidence go?
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W1_Choose_My_Challenges.html,BUILD ASDAN · Personal Challenge W1 · Choose My Challenges,Choose My Challenges,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Personal Challenge · Week 1,What are we building today — and where does the evidence go?
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W2_A_Kindness_Challenge.html,BUILD ASDAN · Personal Challenge W2 · A Kindness Challenge,A Kindness Challenge,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Personal Challenge · Week 2,What are we building today — and where does the evidence go?
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W3_An_Eco_Challenge.html,BUILD ASDAN · Personal Challenge W3 · An Eco Challenge,An Eco Challenge,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Personal Challenge · Week 3,What are we building today — and where does the evidence go?
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W4_An_Independence_Challenge.html,BUILD ASDAN · Personal Challenge W4 · An Independence Challenge,An Independence Challenge,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Personal Challenge · Week 4,What are we building today — and where does the evidence go?
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W5_Our_Social_Enterprise.html,BUILD ASDAN · Personal Challenge W5 · Our Social Enterprise,Our Social Enterprise,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Personal Challenge · Week 5,What are we building today — and where does the evidence go?
BUILD_ASDAN/Duke_and_Enterprise/DUKE_W6_Pitch_and_Reflect.html,BUILD ASDAN · Personal Challenge W6 · Pitch &amp; Reflect,Pitch &amp; Reflect,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Personal Challenge · Week 6,What are we building today — and where does the evidence go?
BUILD_ASDAN/FoodWise/FW_W1_Food_Groups.html,BUILD ASDAN · FoodWise M1 W1 · Food Groups,Food Groups,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · FoodWise M1 · Week 1,What are we building today — and where does the evidence go?
BUILD_ASDAN/FoodWise/FW_W2_A_Balanced_Plate.html,BUILD ASDAN · FoodWise M1 W2 · A Balanced Plate,A Balanced Plate,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · FoodWise M1 · Week 2,What are we building today — and where does the evidence go?
BUILD_ASDAN/FoodWise/FW_W3_Reading_Labels.html,BUILD ASDAN · FoodWise M1 W3 · Reading Labels,Reading Labels,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · FoodWise M1 · Week 3,What are we building today — and where does the evidence go?
BUILD_ASDAN/FoodWise/FW_W4_Kitchen_Hygiene_and_Safety.html,BUILD ASDAN · FoodWise M1 W4 · Kitchen Hygiene &amp; Safety,Kitchen Hygiene &amp; Safety,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · FoodWise M1 · Week 4,What are we building today — and where does the evidence go?
BUILD_ASDAN/FoodWise/FW_W5_Prepare_a_Healthy_Snack.html,BUILD ASDAN · FoodWise M1 W5 · Prepare a Healthy Snack,Prepare a Healthy Snack,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · FoodWise M1 · Week 5,What are we building today — and where does the evidence go?
BUILD_ASDAN/FoodWise/FW_W6_Plan_a_Healthy_Meal.html,BUILD ASDAN · FoodWise M1 W6 · Plan a Healthy Meal,Plan a Healthy Meal,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · FoodWise M1 · Week 6,What are we building today — and where does the evidence go?
BUILD_ASDAN/Living_Independently/LI_W1_Where_Money_Comes_From.html,BUILD ASDAN · Living Independently M1 W1 · Where Money Comes From,Where Money Comes From,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Living Independently M1 · Week 1,What are we building today — and where does the evidence go?
BUILD_ASDAN/Living_Independently/LI_W2_Notes_and_Coins.html,BUILD ASDAN · Living Independently M1 W2 · Notes &amp; Coins,Notes &amp; Coins,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Living Independently M1 · Week 2,What are we building today — and where does the evidence go?
BUILD_ASDAN/Living_Independently/LI_W3_Needs_vs_Wants.html,BUILD ASDAN · Living Independently M1 W3 · Needs vs Wants,Needs vs Wants,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Living Independently M1 · Week 3,What are we building today — and where does the evidence go?
BUILD_ASDAN/Living_Independently/LI_W4_Everyday_Prices.html,BUILD ASDAN · Living Independently M1 W4 · Everyday Prices,Everyday Prices,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Living Independently M1 · Week 4,What are we building today — and where does the evidence go?
BUILD_ASDAN/Living_Independently/LI_W5_A_Simple_Budget.html,BUILD ASDAN · Living Independently M1 W5 · A Simple Budget,A Simple Budget,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Living Independently M1 · Week 5,What are we building today — and where does the evidence go?
BUILD_ASDAN/Living_Independently/LI_W6_Shopping_and_Change.html,BUILD ASDAN · Living Independently M1 W6 · Shopping &amp; Change,Shopping &amp; Change,,Progress SoW · BUILD ASDAN Aut 1 · 2026–27 · Living Independently M1 · Week 6,What are we building today — and where does the evidence go?
Build/Slideshows/BUILD_DT_W1_Workshop_Audit.html,BUILD D&amp;T · Community Upcycling · W1 The Workshop Audit · Made by Matt,The Workshop Audit,,Progress SoW &#183; BUILD D&amp;T Aut 1 &#183; 2026–27 &#183; Community Upcycling &#183; Week 1,What makes a bench safe — and how do we prove ours is?
Build/Slideshows/BUILD_DT_W2_Blueprint.html,BUILD D&amp;T · Community Upcycling · W2 The Blueprint · Made by Matt,The Blueprint,,Progress SoW &#183; BUILD D&amp;T Aut 1 &#183; 2026–27 &#183; Community Upcycling &#183; Week 2,How do we turn a drawing into marks a saw can follow?
Build/Slideshows/BUILD_DT_W3_Core_Cut.html,BUILD D&amp;T · Community Upcycling · W3 The Core Cut · Made by Matt,The Core Cut,,Progress SoW &#183; BUILD D&amp;T Aut 1 &#183; 2026–27 &#183; Community Upcycling &#183; Week 3,What has to be true before a saw is unlocked — and what keeps a cut straight once it is?
Build/Slideshows/BUILD_DT_W4_Assembly.html,BUILD D&amp;T · Community Upcycling · W4 The Assembly · Made by Matt,The Assembly,,Progress SoW &#183; BUILD D&amp;T Aut 1 &#183; 2026–27 &#183; Community Upcycling &#183; Week 4,What has to happen — and in what order — before a joint will actually hold?
Build/Slideshows/BUILD_DT_W5_Finish.html,BUILD D&amp;T · Community Upcycling · W5 The Finish · Made by Matt,The Finish,,Progress SoW &#183; BUILD D&amp;T Aut 1 &#183; 2026–27 &#183; Community Upcycling &#183; Week 5,When is a thing finished — and how do you know to stop?
Build/Slideshows/BUILD_DT_W6_Handover.html,BUILD D&amp;T · Community Upcycling · W6 The Handover · Made by Matt,The Handover,,Progress SoW &#183; BUILD D&amp;T Aut 1 &#183; 2026–27 &#183; Community Upcycling &#183; Week 6,When is a thing finished — and how do you know to stop?
Build/Slideshows/BUILD_HUM_W1_Human_Timeline.html,BUILD Humanities W1 · The Local History Timeline,The Local History Timeline,,Progress SoW · Humanities Aut 1 · 2026–27 · BUILD · Week 1,Everything around you arrived at a different time. What's the oldest thing in YOUR life — and how do you know?
Build/Slideshows/BUILD_HUM_W2_History_Detectives.html,BUILD Humanities W2 · History Detectives,History Detectives,,Progress SoW · Humanities Aut 1 · 2026–27 · BUILD · Week 2,A single photo of the Tees in 1910 sits on your desk. It can show you a hundred things — but what can it never TELL you?
Build/Slideshows/BUILD_HUM_W3_Why_People_Came.html,BUILD Humanities W3 · Why People Came,Why People Came,,Progress SoW · Humanities Aut 1 · 2026–27 · BUILD · Week 3,"In 1829 Middlesbrough had about 40 people. By 1901: over 90,000. People CHOSE to come. Why would you?"
Build/Slideshows/BUILD_HUM_W4_People_Who_Shaped_Britain.html,BUILD Humanities W4 · People Who Shaped Britain,People Who Shaped Britain,,Progress SoW · Humanities Aut 1 · 2026–27 · BUILD · Week 4,"Every brick round here was laid by somebody with a name, a family, a story. Who gets remembered — and who does the remembering?"
Build/Slideshows/BUILD_HUM_W5_Big_Deal.html,BUILD Humanities W5 · Big Deal or Small Deal?,Big Deal or Small Deal?,,Progress SoW · Humanities Aut 1 · 2026–27 · BUILD · Week 5,"The blast furnace going cold in 2015: a footnote in a London paper, front page here for weeks. Who decides what's a big deal?"
Build/Slideshows/BUILD_HUM_W6_Plan_The_Story.html,BUILD Humanities W6 · Plan the Story,Plan the Story,How did Middlesbrough grow so fast?,Progress SoW · Humanities Aut 1 · 2026–27 · BUILD · Week 6,"Railway. Ironstone. Migrants. Bridge. Boom. Closure. Same six facts — one storyteller makes a triumph, another a tragedy. What decides?"
Build/Slideshows/BUILD_HUM_W7_Tell_The_Story.html,BUILD Humanities W7 · Tell the Story,Tell the Story,,Progress SoW · Humanities Aut 1 · 2026–27 · BUILD · Week 7,"If you had thirty seconds to tell a stranger why this town exists, what would you keep? The clock is the harshest editor."
Build/Slideshows/BUILD_HUM_W8_Where_In_The_World.html,BUILD Humanities W8 · Where in the World?,Where in the World?,,Progress SoW · Humanities Aut 1 · 2026–27 · BUILD · Week 8,"If every family's journey to Teesside drew a line on the world map, what shape would our town's story make?"
GROW_ASDAN/Community_Project/GCOMM_W1_Our_Patch_Our_Say.html,"GROW ASDAN · PEQ cross-unit project work · plan phase W1 · Our Patch, Our Say","Our Patch, Our Say",,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ cross-unit project work · plan phase · Week 1,What are we building today — and where does the evidence go?
GROW_ASDAN/Community_Project/GCOMM_W2_Choose_The_Need.html,GROW ASDAN · PEQ cross-unit project work · plan phase W2 · Choose the Need,Choose the Need,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ cross-unit project work · plan phase · Week 2,What are we building today — and where does the evidence go?
GROW_ASDAN/Community_Project/GCOMM_W3_Roles_Steps_Resources.html,"GROW ASDAN · PEQ cross-unit project work · plan phase W3 · Roles, Steps, Resources","Roles, Steps, Resources",,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ cross-unit project work · plan phase · Week 3,What are we building today — and where does the evidence go?
GROW_ASDAN/Community_Project/GCOMM_W4_First_Contact.html,GROW ASDAN · PEQ cross-unit project work · plan phase W4 · First Contact,First Contact,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ cross-unit project work · plan phase · Week 4,What are we building today — and where does the evidence go?
GROW_ASDAN/Community_Project/GCOMM_W5_Risk_And_Ready.html,GROW ASDAN · PEQ cross-unit project work · plan phase W5 · Risk &amp; Ready,Risk &amp; Ready,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ cross-unit project work · plan phase · Week 5,What are we building today — and where does the evidence go?
GROW_ASDAN/Community_Project/GCOMM_W6_Green_Light.html,GROW ASDAN · PEQ cross-unit project work · plan phase W6 · Green Light,Green Light,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ cross-unit project work · plan phase · Week 6,What are we building today — and where does the evidence go?
GROW_ASDAN/Enterprise/ENT_W1_Helps_And_Earns.html,GROW ASDAN · AQA UAS enterprise · PEQ core skills W1 · Helps and Earns,Helps and Earns,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · AQA UAS enterprise · PEQ core skills · Week 1,What are we building today — and where does the evidence go?
GROW_ASDAN/Enterprise/ENT_W2_Spot_The_Gap.html,GROW ASDAN · AQA UAS enterprise · PEQ core skills W2 · Spot the Gap,Spot the Gap,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · AQA UAS enterprise · PEQ core skills · Week 2,What are we building today — and where does the evidence go?
GROW_ASDAN/Enterprise/ENT_W3_Our_Idea_Our_Users.html,"GROW ASDAN · AQA UAS enterprise · PEQ core skills W3 · Our Idea, Our Users","Our Idea, Our Users",,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · AQA UAS enterprise · PEQ core skills · Week 3,What are we building today — and where does the evidence go?
GROW_ASDAN/Enterprise/ENT_W4_Money_In_Money_Out.html,"GROW ASDAN · AQA UAS enterprise · PEQ core skills W4 · Money In, Money Out","Money In, Money Out",,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · AQA UAS enterprise · PEQ core skills · Week 4,What are we building today — and where does the evidence go?
GROW_ASDAN/Enterprise/ENT_W5_Brand_And_Pitch.html,GROW ASDAN · AQA UAS enterprise · PEQ core skills W5 · Brand and Pitch,Brand and Pitch,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · AQA UAS enterprise · PEQ core skills · Week 5,What are we building today — and where does the evidence go?
GROW_ASDAN/Enterprise/ENT_W6_Pitch_Day.html,GROW ASDAN · AQA UAS enterprise · PEQ core skills W6 · Pitch Day,Pitch Day,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · AQA UAS enterprise · PEQ core skills · Week 6,What are we building today — and where does the evidence go?
GROW_ASDAN/PEQ/PEQ_W1_Knowing_Myself.html,GROW ASDAN · PEQ Level 1 (E3 floor · L2 stretch) W1 · Knowing Myself,Knowing Myself,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ Level 1 (E3 floor · L2 stretch) · Week 1,What are we building today — and where does the evidence go?
GROW_ASDAN/PEQ/PEQ_W2_Goals_That_Work.html,GROW ASDAN · PEQ Level 1 (E3 floor · L2 stretch) W2 · Goals That Work,Goals That Work,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ Level 1 (E3 floor · L2 stretch) · Week 2,What are we building today — and where does the evidence go?
GROW_ASDAN/PEQ/PEQ_W3_Working_With_Others.html,GROW ASDAN · PEQ Level 1 (E3 floor · L2 stretch) W3 · Working With Others,Working With Others,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ Level 1 (E3 floor · L2 stretch) · Week 3,What are we building today — and where does the evidence go?
GROW_ASDAN/PEQ/PEQ_W4_Managing_Myself.html,GROW ASDAN · PEQ Level 1 (E3 floor · L2 stretch) W4 · Managing Myself,Managing Myself,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ Level 1 (E3 floor · L2 stretch) · Week 4,What are we building today — and where does the evidence go?
GROW_ASDAN/PEQ/PEQ_W5_Solving_Problems.html,GROW ASDAN · PEQ Level 1 (E3 floor · L2 stretch) W5 · Solving Problems,Solving Problems,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ Level 1 (E3 floor · L2 stretch) · Week 5,What are we building today — and where does the evidence go?
GROW_ASDAN/PEQ/PEQ_W6_Present_My_Progress.html,GROW ASDAN · PEQ Level 1 (E3 floor · L2 stretch) W6 · Present My Progress,Present My Progress,,Progress SoW · GROW ASDAN Aut 1 · 2026–27 · PEQ Level 1 (E3 floor · L2 stretch) · Week 6,What are we building today — and where does the evidence go?
Grow/Slideshows/GROW_HUM_W1_Time_Detectives.html,GROW Humanities W1 · Time Detectives,Time Detectives,,Progress SoW · Humanities Aut 1 · 2026–27 · GROW · Week 1,Someone claims: 'Middlesbrough sprang up overnight.' The dates themselves can prove them wrong. How?
