file,slide,tier,surface,fk,inband,stem
GROW__SCI_G_W3A_Friction_Explore.html,exit,Supported,screen,0.5,False,Name one place friction helps.
GROW__SCI_G_W3A_Friction_Explore.html,exit,Standard,screen,2.3,False,Explain why a car needs friction to stop.
GROW__SCI_G_W3A_Friction_Explore.html,exit,Stretch,screen,6.7,True,Explain why the same force can be a design solution and a design problem.
GROW__SCI_G_W3A_Friction_Explore.html,exit,,screen,0.5,False,Name one place friction helps.
GROW__SCI_G_W3A_Friction_Explore.html,exit,,screen,2.3,False,Explain why a car needs friction to stop.
GROW__SCI_G_W3A_Friction_Explore.html,exit,,screen,6.7,True,Explain why the same force can be a design solution and a design problem.
GROW__SCI_G_W3A_Friction_Explore.html,print,Supported,print,2.8,False,Supported independent route ◆ Use a labelled picture and the word bank. Add arrows to it. Then finish this line: ‘Friction helps because…’. Scaffold Word bank: 
GROW__SCI_G_W3A_Friction_Explore.html,print,Standard,print,6.5,True,Standard independent route ▲ Label two contact surfaces. Explain one helpful effect. Then explain one unhelpful effect. Scaffold Prompt card: surfaces → directi
GROW__SCI_G_W3A_Friction_Explore.html,print,Stretch,print,2.3,False,Stretch independent route ★ Find one place where a designer would add friction. Find one place to cut it. Give a science reason for each. Scaffold Add a design 
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,1.8,False,◆ Use a labelled picture and the word bank. Add arrows to it. Then finish this line: ‘Friction helps because…’.
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,1.8,False,Word bank: friction · surface · grip · rub · slow · heat. Use these words on your card. Sentence stem: ‘The surfaces are __ and __. Friction acts __. This is us
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,7.0,True,▲ Label two contact surfaces. Explain one helpful effect. Then explain one unhelpful effect.
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,4.4,True,Prompt card: surfaces → direction of friction → effect → why that effect matters. Do one box at a time.
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,1.2,False,★ Find one place where a designer would add friction. Find one place to cut it. Give a science reason for each.
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,1.2,False,Add a design trade-off. What gets better if friction changes? What new cost might that bring?
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,10.7,False,"What this model helps us see: It shows that friction acts against the direction of motion, and that grip comes from the pair of surfaces touching, not from one "
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,9.3,False,WORD HELP friction — the rub that slows things down surface — the outside face that touches resistance — pushing back against movement
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,9.2,False,ONE closure line after an adult has genuinely received the response and given one next step: Next I will _______________________________________________________
GROW__SCI_G_W3A_Friction_Explore.html,print,,print,3.6,True,"GROW written close — the pupil writes this line: “What I said, and what it changed:” ________________________________________________________________ __________"
GROW__SCI_G_W3B_Friction_Do.html,arrival,Supported,screen,2.3,False,Point to a surface here where friction is high.
GROW__SCI_G_W3B_Friction_Do.html,arrival,Supported,screen,3.9,True,"Point or say: which slides further on a smooth floor, a sock or a rubber shoe?"
GROW__SCI_G_W3B_Friction_Do.html,arrival,Supported,screen,3.1,True,Show how you would make a toy car go further along the floor.
GROW__SCI_G_W3B_Friction_Do.html,arrival,Supported,screen,0.6,False,We test surfaces today. Point to the one you think will grip most.
GROW__SCI_G_W3B_Friction_Do.html,arrival,Standard,screen,1.5,False,Last lesson you decided when friction helps. Give one place it helps.
GROW__SCI_G_W3B_Friction_Do.html,arrival,Standard,screen,0.8,False,"Which would slide further on a smooth floor, a sock or a rubber shoe? Say why."
GROW__SCI_G_W3B_Friction_Do.html,arrival,Standard,screen,3.8,True,How would you make a toy car travel further along the floor?
GROW__SCI_G_W3B_Friction_Do.html,arrival,Standard,screen,1.5,False,"Today we test surfaces. Which surface will grip most, and how will we know?"
GROW__SCI_G_W3B_Friction_Do.html,arrival,Stretch,screen,3.1,True,Last lesson you found friction can be a problem too. Give one place a designer would want less of it.
GROW__SCI_G_W3B_Friction_Do.html,arrival,Stretch,screen,3.6,True,"Predict which slides further, then say what you would keep the same to be sure."
GROW__SCI_G_W3B_Friction_Do.html,arrival,Stretch,screen,1.5,False,A toy car stops sooner than you expected. Name two things that could explain it.
GROW__SCI_G_W3B_Friction_Do.html,arrival,Stretch,screen,3.8,True,Today we test surfaces. What would make our answer trustworthy to someone who was not here?
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,2.3,False,Point to a surface here where friction is high.
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,3.9,True,"Point or say: which slides further on a smooth floor, a sock or a rubber shoe?"
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,3.1,True,Show how you would make a toy car go further along the floor.
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,0.6,False,We test surfaces today. Point to the one you think will grip most.
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,1.5,False,Last lesson you decided when friction helps. Give one place it helps.
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,0.8,False,"Which would slide further on a smooth floor, a sock or a rubber shoe? Say why."
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,3.8,True,How would you make a toy car travel further along the floor?
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,1.5,False,"Today we test surfaces. Which surface will grip most, and how will we know?"
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,3.1,True,Last lesson you found friction can be a problem too. Give one place a designer would want less of it.
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,3.6,True,"Predict which slides further, then say what you would keep the same to be sure."
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,1.5,False,A toy car stops sooner than you expected. Name two things that could explain it.
GROW__SCI_G_W3B_Friction_Do.html,arrival,,screen,3.8,True,Today we test surfaces. What would make our answer trustworthy to someone who was not here?
GROW__SCI_G_W3B_Friction_Do.html,starter,,screen,6.7,True,Which classroom surface will let the same block or trolley travel furthest? Commit your prediction before equipment comes out.
GROW__SCI_G_W3B_Friction_Do.html,independent,,screen,4.8,True,Surface investigation. Compare at least three safe surfaces. Use the same object. Use the same release method. Do this on every surface. Record the distance tra
GROW__SCI_G_W3B_Friction_Do.html,independent,,screen,3.9,True,◆ Use the prepared table. Start at the marked release point. Let the object go. Record LONGER or SHORTER. Or record the measured distance. 🧰 Open scaffold Visua
GROW__SCI_G_W3B_Friction_Do.html,independent,,screen,4.3,True,▲ Record the measured distance in centimetres (cm). Which surface made the most friction? Write that down. 🧰 Open scaffold Conclusion stem: ‘___ produced the mo
GROW__SCI_G_W3B_Friction_Do.html,independent,,screen,2.6,False,★ Repeat each surface. Check your repeats. Are they close? Then suggest one way to improve the method. 🧰 Open scaffold Evaluation prompt. You try to keep the me
GROW__SCI_G_W3B_Friction_Do.html,exit,Supported,screen,4.0,True,Which tested surface produced the most friction?
GROW__SCI_G_W3B_Friction_Do.html,exit,Standard,screen,7.2,False,Use one result to justify which surface produced most friction.
GROW__SCI_G_W3B_Friction_Do.html,exit,Stretch,screen,9.7,False,Explain one limitation of your investigation and how you would improve it.
GROW__SCI_G_W3B_Friction_Do.html,exit,,screen,4.0,True,Which tested surface produced the most friction?
GROW__SCI_G_W3B_Friction_Do.html,exit,,screen,7.2,False,Use one result to justify which surface produced most friction.
GROW__SCI_G_W3B_Friction_Do.html,exit,,screen,9.7,False,Explain one limitation of your investigation and how you would improve it.
GROW__SCI_G_W3B_Friction_Do.html,print,Supported,print,4.5,True,Supported independent route ◆ Use the prepared table. Start at the marked release point. Let the object go. Record LONGER or SHORTER. Or record the measured dis
GROW__SCI_G_W3B_Friction_Do.html,print,Standard,print,5.6,True,Standard independent route ▲ Record the measured distance in centimetres (cm). Which surface made the most friction? Write that down. Scaffold Conclusion stem: 
GROW__SCI_G_W3B_Friction_Do.html,print,Stretch,print,3.2,True,Stretch independent route ★ Repeat each surface. Check your repeats. Are they close? Then suggest one way to improve the method. Scaffold Evaluation prompt. You
GROW__SCI_G_W3B_Friction_Do.html,print,,print,3.1,True,◆ Use the prepared table. Start at the marked release point. Let the object go. Record LONGER or SHORTER. Or record the measured distance.
GROW__SCI_G_W3B_Friction_Do.html,print,,print,4.1,True,Visual sequence: predict → release from mark → measure → record → repeat → conclude. Do one step at a time. Tick each step off. Conclusion stem: ‘___ produced t
GROW__SCI_G_W3B_Friction_Do.html,print,,print,3.5,True,▲ Record the measured distance in centimetres (cm). Which surface made the most friction? Write that down.
GROW__SCI_G_W3B_Friction_Do.html,print,,print,5.1,True,Conclusion stem: ‘___ produced the most friction because the object travelled ___ compared with ___.’
GROW__SCI_G_W3B_Friction_Do.html,print,,print,2.0,False,★ Repeat each surface. Check your repeats. Are they close? Then suggest one way to improve the method.
GROW__SCI_G_W3B_Friction_Do.html,print,,print,2.2,False,Evaluation prompt. You try to keep the method the same. What might still vary?
GROW__SCI_G_W3B_Friction_Do.html,print,,print,10.8,False,"What this model helps us see: It lets you compare surfaces side by side when every surface gets the same release, so the surface is the only thing you changed. "
GROW__SCI_G_W3B_Friction_Do.html,print,,print,11.2,False,"WORD HELP evidence — what you found out, written down observation — what you saw, recorded carefully repeat — doing it again the same way"
GROW__SCI_G_W3B_Friction_Do.html,print,,print,9.2,False,ONE closure line after an adult has genuinely received the response and given one next step: Next I will _______________________________________________________
GROW__SCI_G_W3B_Friction_Do.html,print,,print,3.6,True,"GROW written close — the pupil writes this line: “What I said, and what it changed:” ________________________________________________________________ __________"
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Supported,screen,2.6,False,Point to the surface from last lesson that gripped the most.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Supported,screen,0.5,False,Say one place friction helps.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Supported,screen,4.8,True,Show with your hands what friction does to something sliding.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Supported,screen,-0.7,False,Point to the door handle. It helps you push.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Standard,screen,1.5,False,"Last lesson you tested surfaces. Which gave the most friction, and how did you know?"
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Standard,screen,2.3,False,In Week 3 you decided friction can help or get in the way. Give one example of each.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Standard,screen,2.9,False,What does friction do to an object that is trying to slide?
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Standard,screen,0.4,False,Some tools let a small push do a big job. How do you think a door handle helps?
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Stretch,screen,6.2,True,Last lesson you used results as evidence. What made one result more trustworthy than another?
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Stretch,screen,7.7,False,Week 3: explain why the same force can be useful in one design and a problem in another.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Stretch,screen,4.2,True,Friction acts against sliding. Name something else it produces that you could feel.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,Stretch,screen,1.2,False,A small effort can move a big load. What do you think is being given up to get that?
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,2.6,False,Point to the surface from last lesson that gripped the most.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,0.5,False,Say one place friction helps.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,4.8,True,Show with your hands what friction does to something sliding.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,-0.7,False,Point to the door handle. It helps you push.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,1.5,False,"Last lesson you tested surfaces. Which gave the most friction, and how did you know?"
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,2.3,False,In Week 3 you decided friction can help or get in the way. Give one example of each.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,2.9,False,What does friction do to an object that is trying to slide?
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,0.4,False,Some tools let a small push do a big job. How do you think a door handle helps?
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,6.2,True,Last lesson you used results as evidence. What made one result more trustworthy than another?
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,7.7,False,Week 3: explain why the same force can be useful in one design and a problem in another.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,4.2,True,Friction acts against sliding. Name something else it produces that you could feel.
GROW__SCI_G_W4A_Mechanisms_Explore.html,arrival,,screen,1.2,False,A small effort can move a big load. What do you think is being given up to get that?
GROW__SCI_G_W4A_Mechanisms_Explore.html,starter,,screen,8.6,False,"How can one person lift, turn or move something that feels too difficult by hand? Choose a familiar object: scissors, wheelbarrow, spanner, bicycle or flagpole."
GROW__SCI_G_W4A_Mechanisms_Explore.html,independent,,screen,2.7,False,"Mechanism detective. Look at three approved examples. Handle them, or just inspect them. Name the mechanism in each one. Mark the pivot if there is one. Mark an"
GROW__SCI_G_W4A_Mechanisms_Explore.html,independent,,screen,2.5,False,◆ Match each example to LEVER / PULLEY / GEARS. Then point to the pivot on a lever. 🧰 Open scaffold Picture key: lever = bar + pivot; pulley = wheel + rope; gea
GROW__SCI_G_W4A_Mechanisms_Explore.html,independent,,screen,1.6,False,"▲ Name the mechanism. Then say what it changes. It may change force size, direction or turning. 🧰 Open scaffold Stem: ‘This is a ___ because ___. It helps by __"
GROW__SCI_G_W4A_Mechanisms_Explore.html,independent,,screen,2.3,False,★ Take at least two mechanisms. State the gain for each one. Then state the trade-off. 🧰 Open scaffold Use force and distance words. Or use speed and turning-ef
GROW__SCI_G_W4A_Mechanisms_Explore.html,exit,Supported,screen,2.3,False,Name the point a lever turns around.
GROW__SCI_G_W4A_Mechanisms_Explore.html,exit,Standard,screen,3.8,True,Explain why moving a pivot can change how hard a lift feels.
GROW__SCI_G_W4A_Mechanisms_Explore.html,exit,Stretch,screen,8.8,False,Explain why a mechanism cannot give a force advantage without a trade-off.
GROW__SCI_G_W4A_Mechanisms_Explore.html,exit,,screen,2.3,False,Name the point a lever turns around.
GROW__SCI_G_W4A_Mechanisms_Explore.html,exit,,screen,3.8,True,Explain why moving a pivot can change how hard a lift feels.
GROW__SCI_G_W4A_Mechanisms_Explore.html,exit,,screen,8.8,False,Explain why a mechanism cannot give a force advantage without a trade-off.
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,Supported,print,2.5,False,Supported independent route ◆ Match each example to LEVER / PULLEY / GEARS. Then point to the pivot on a lever. Scaffold Picture key: lever = bar + pivot; pulle
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,Standard,print,2.1,False,"Standard independent route ▲ Name the mechanism. Then say what it changes. It may change force size, direction or turning. Scaffold Stem: ‘This is a ___ because"
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,Stretch,print,2.4,False,Stretch independent route ★ Take at least two mechanisms. State the gain for each one. Then state the trade-off. Scaffold Use force and distance words. Or use s
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,3.9,True,◆ Match each example to LEVER / PULLEY / GEARS. Then point to the pivot on a lever.
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,0.1,False,Picture key: lever = bar + pivot; pulley = wheel + rope; gears = toothed wheels. Match the picture first. Then say the name. Stem: ‘This is a ___ because ___. I
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,2.0,False,"▲ Name the mechanism. Then say what it changes. It may change force size, direction or turning."
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,-2.5,False,"Stem: ‘This is a ___ because ___. It helps by ___, but ___.’"
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,0.5,False,★ Take at least two mechanisms. State the gain for each one. Then state the trade-off.
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,1.8,False,Use force and distance words. Or use speed and turning-effect words. Do not just write ‘it makes it easier’.
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,9.1,False,"What this model helps us see: It shows where the effort, the pivot and the load sit, and that the mechanism changes the force you need. What this model does not"
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,8.0,False,WORD HELP mechanism — a part that changes a force pivot — the point it turns around effort — the push or pull you supply
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,9.2,False,ONE closure line after an adult has genuinely received the response and given one next step: Next I will _______________________________________________________
GROW__SCI_G_W4A_Mechanisms_Explore.html,print,,print,3.6,True,"GROW written close — the pupil writes this line: “What I said, and what it changed:” ________________________________________________________________ __________"
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Supported,screen,0.6,False,Point to a lever in this room.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Supported,screen,2.3,False,Say which surface gripped most in the surface test.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Supported,screen,2.5,False,Point to something that needs grip.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Supported,screen,0.6,False,Watch the seesaw. Point to where you would sit to lift a heavy friend.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Standard,screen,1.5,False,"Last lesson you found levers, pulleys and gears. Name one and say what it changes."
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Standard,screen,0.1,False,In Week 3 you tested surfaces. What did you keep the same so the test was fair?
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Standard,screen,2.5,False,Week 3: give one place friction helps and one place it gets in the way.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Standard,screen,4.0,True,"On a seesaw, where would you sit to lift someone heavier than you?"
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Stretch,screen,6.8,True,"Last lesson: explain what a mechanism changes about a force, and what it leaves alone."
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Stretch,screen,9.7,False,Week 3: why does keeping everything else the same make a comparison trustworthy?
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Stretch,screen,1.5,False,Week 3: friction and levers both change how hard a job feels. Say how they differ.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,Stretch,screen,4.4,True,Moving the pivot towards the load makes lifting easier. Predict what gets harder at the same time.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,0.6,False,Point to a lever in this room.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,2.3,False,Say which surface gripped most in the surface test.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,2.5,False,Point to something that needs grip.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,0.6,False,Watch the seesaw. Point to where you would sit to lift a heavy friend.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,1.5,False,"Last lesson you found levers, pulleys and gears. Name one and say what it changes."
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,0.1,False,In Week 3 you tested surfaces. What did you keep the same so the test was fair?
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,2.5,False,Week 3: give one place friction helps and one place it gets in the way.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,4.0,True,"On a seesaw, where would you sit to lift someone heavier than you?"
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,6.8,True,"Last lesson: explain what a mechanism changes about a force, and what it leaves alone."
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,9.7,False,Week 3: why does keeping everything else the same make a comparison trustworthy?
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,1.5,False,Week 3: friction and levers both change how hard a job feels. Say how they differ.
GROW__SCI_G_W4B_Mechanisms_Do.html,arrival,,screen,4.4,True,Moving the pivot towards the load makes lifting easier. Predict what gets harder at the same time.
GROW__SCI_G_W4B_Mechanisms_Do.html,starter,,screen,10.4,False,"Predict before touching equipment: will a pivot nearer the load make the effort feel easier, harder or unchanged?"
GROW__SCI_G_W4B_Mechanisms_Do.html,independent,,screen,3.4,True,Lever investigation. Test two or three marked pivot positions. Use the same light load each time. Compare the effort at each position. Use an agreed scale for t
GROW__SCI_G_W4B_Mechanisms_Do.html,independent,,screen,3.5,True,◆ Test two pre-marked pivot positions. Then record which one feels easier. 🧰 Open scaffold Photo or diagram sequence. Two labelled pivot positions. Choice words
GROW__SCI_G_W4B_Mechanisms_Do.html,independent,,screen,3.0,True,"▲ Record the effort at two positions. Then explain why one of them is easier. 🧰 Open scaffold Stem: ‘When the pivot moved ___, the effort ___ because ___. The e"
GROW__SCI_G_W4B_Mechanisms_Do.html,independent,,screen,3.3,True,★ Measure the effort. Then measure the movement distance. Explain the trade-off. Use both pieces of evidence. 🧰 Open scaffold Compare the effort-arm length with
GROW__SCI_G_W4B_Mechanisms_Do.html,exit,Supported,screen,5.7,True,Which pivot position made your lift easier?
GROW__SCI_G_W4B_Mechanisms_Do.html,exit,Standard,screen,8.0,False,Use your evidence to explain why pivot position changed the effort.
GROW__SCI_G_W4B_Mechanisms_Do.html,exit,Stretch,screen,11.2,False,Explain the force–distance trade-off using your own measurements or observations.
GROW__SCI_G_W4B_Mechanisms_Do.html,exit,,screen,5.7,True,Which pivot position made your lift easier?
GROW__SCI_G_W4B_Mechanisms_Do.html,exit,,screen,8.0,False,Use your evidence to explain why pivot position changed the effort.
GROW__SCI_G_W4B_Mechanisms_Do.html,exit,,screen,11.2,False,Explain the force–distance trade-off using your own measurements or observations.
GROW__SCI_G_W4B_Mechanisms_Do.html,print,Supported,print,4.1,True,Supported independent route ◆ Test two pre-marked pivot positions. Then record which one feels easier. Scaffold Photo or diagram sequence. Two labelled pivot po
GROW__SCI_G_W4B_Mechanisms_Do.html,print,Standard,print,4.0,True,"Standard independent route ▲ Record the effort at two positions. Then explain why one of them is easier. Scaffold Stem: ‘When the pivot moved ___, the effort __"
GROW__SCI_G_W4B_Mechanisms_Do.html,print,Stretch,print,4.3,True,Stretch independent route ★ Measure the effort. Then measure the movement distance. Explain the trade-off. Use both pieces of evidence. Scaffold Compare the eff
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,4.8,True,◆ Test two pre-marked pivot positions. Then record which one feels easier.
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,2.6,False,Photo or diagram sequence. Two labelled pivot positions. Choice words: easier · harder · further · less far. Pick one word for each test. Stem: ‘When the pivot 
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,4.0,True,▲ Record the effort at two positions. Then explain why one of them is easier.
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,0.6,False,"Stem: ‘When the pivot moved ___, the effort ___ because ___. The effort end moved ___.’"
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,5.1,True,★ Measure the effort. Then measure the movement distance. Explain the trade-off. Use both pieces of evidence.
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,2.2,False,Compare the effort-arm length with the load-arm length. Use the ratio. Words are fine here. Use numbers if you are ready.
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,8.0,False,What this model helps us see: It shows how moving the pivot changes the effort needed to lift the load. What this model does not show: It leaves out the frictio
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,6.4,True,WORD HELP load — the thing being lifted pivot — the point it turns around effort — the push or pull you supply
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,9.2,False,ONE closure line after an adult has genuinely received the response and given one next step: Next I will _______________________________________________________
GROW__SCI_G_W4B_Mechanisms_Do.html,print,,print,3.6,True,"GROW written close — the pupil writes this line: “What I said, and what it changed:” ________________________________________________________________ __________"
GROW__SCI_G_W5A_Fair_Test_Explore.html,arrival,Supported,screen,3.7,True,Point to where the pivot was when lifting was easiest.
GROW__SCI_G_W5A_Fair_Test_Explore.html,arrival,Supported,screen,0.6,False,Name one machine that helps you lift.
GROW__SCI_G_W5A_Fair_Test_Explore.html,arrival,Supported,screen,0.5,False,Say one place friction helps.
