"id","filename","visible_term_week","continuation_week","strand","canonical_outcome","week_cell","outcome_cell","inherited_mapping_ref","inherited_mapping","inherited_evidence_ref","inherited_evidence","qualification_status"
"BUILD_A2_DUKE_W5","BUILD_ASDAN_A2_DUKE_W5_Gather_and_Present_Project_Evidence.html","Autumn 2 · Week 5","Estate sequence W13","Enrichment Award: Junior/Young Duke + Community & Social Enterprise","Gather and present project evidence.","'BUILD Weekly - Autumn'!B155","'BUILD Weekly - Autumn'!C155","'BUILD Weekly - Autumn'!D144","Junior/Young Duke (Capable Kids) challenge levels · Community & Social Enterprise · AQA UAS.","'BUILD Weekly - Autumn'!F144","Junior/Young Duke level evidence; AQA UAS 'Personal challenge' (unit unconfirmed — centre record). F: challenge log. S: Duke challenges signed off + community launch (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_DUKE_W6","BUILD_ASDAN_A2_DUKE_W6_Celebrate_Community_Impact.html","Autumn 2 · Week 6","Estate sequence W14","Enrichment Award: Junior/Young Duke + Community & Social Enterprise","Celebrate community impact with others.","'BUILD Weekly - Autumn'!B156","'BUILD Weekly - Autumn'!C156","'BUILD Weekly - Autumn'!D144","Junior/Young Duke (Capable Kids) challenge levels · Community & Social Enterprise · AQA UAS.","'BUILD Weekly - Autumn'!F144","Junior/Young Duke level evidence; AQA UAS 'Personal challenge' (unit unconfirmed — centre record). F: challenge log. S: Duke challenges signed off + community launch (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_CON_W1","BUILD_ASDAN_A2_CON_W1_Materials_Tools_and_Safety.html","Autumn 2 · Week 1","Estate sequence W9","Design & Technology (ASDAN Foodwise, Textiles & Construction) – taster units","CONSTRUCTION: identify materials, tools and safety.","'BUILD Weekly - Autumn'!B166","'BUILD Weekly - Autumn'!C166","'BUILD Weekly - Autumn'!D159","Design-make-evaluate cycle delivered through ASDAN short courses: Foodwise, Textiles and Construction/Making. Introductory taster units at Entry level; heavy scaffolding and modelling. AQA UAS D&T units (unit unconfirmed — centre record).","'BUILD Weekly - Autumn'!F159","ASDAN Foodwise/Textiles/Construction short-course evidence · AQA UAS 'Designing a product', 'Making a product', 'Food & nutrition' (unit unconfirmed — centre record). F: process observation. S: finished product + evaluation.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_CON_W2","BUILD_ASDAN_A2_CON_W2_Plan_and_Mark_Out_a_Structure.html","Autumn 2 · Week 2","Estate sequence W10","Design & Technology (ASDAN Foodwise, Textiles & Construction) – taster units","CONSTRUCTION: plan and mark out a simple structure.","'BUILD Weekly - Autumn'!B167","'BUILD Weekly - Autumn'!C167","'BUILD Weekly - Autumn'!D159","Design-make-evaluate cycle delivered through ASDAN short courses: Foodwise, Textiles and Construction/Making. Introductory taster units at Entry level; heavy scaffolding and modelling. AQA UAS D&T units (unit unconfirmed — centre record).","'BUILD Weekly - Autumn'!F159","ASDAN Foodwise/Textiles/Construction short-course evidence · AQA UAS 'Designing a product', 'Making a product', 'Food & nutrition' (unit unconfirmed — centre record). F: process observation. S: finished product + evaluation.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_CON_W3","BUILD_ASDAN_A2_CON_W3_Build_a_Simple_Structure.html","Autumn 2 · Week 3","Estate sequence W11","Design & Technology (ASDAN Foodwise, Textiles & Construction) – taster units","CONSTRUCTION: build a simple model/structure.","'BUILD Weekly - Autumn'!B168","'BUILD Weekly - Autumn'!C168","'BUILD Weekly - Autumn'!D159","Design-make-evaluate cycle delivered through ASDAN short courses: Foodwise, Textiles and Construction/Making. Introductory taster units at Entry level; heavy scaffolding and modelling. AQA UAS D&T units (unit unconfirmed — centre record).","'BUILD Weekly - Autumn'!F159","ASDAN Foodwise/Textiles/Construction short-course evidence · AQA UAS 'Designing a product', 'Making a product', 'Food & nutrition' (unit unconfirmed — centre record). F: process observation. S: finished product + evaluation.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_CON_W4","BUILD_ASDAN_A2_CON_W4_Test_and_Evaluate_My_Structure.html","Autumn 2 · Week 4","Estate sequence W12","Design & Technology (ASDAN Foodwise, Textiles & Construction) – taster units","CONSTRUCTION: test and evaluate what I made.","'BUILD Weekly - Autumn'!B169","'BUILD Weekly - Autumn'!C169","'BUILD Weekly - Autumn'!D159","Design-make-evaluate cycle delivered through ASDAN short courses: Foodwise, Textiles and Construction/Making. Introductory taster units at Entry level; heavy scaffolding and modelling. AQA UAS D&T units (unit unconfirmed — centre record).","'BUILD Weekly - Autumn'!F159","ASDAN Foodwise/Textiles/Construction short-course evidence · AQA UAS 'Designing a product', 'Making a product', 'Food & nutrition' (unit unconfirmed — centre record). F: process observation. S: finished product + evaluation.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_CON_W5","BUILD_ASDAN_A2_CON_W5_Record_Process_and_Evaluation.html","Autumn 2 · Week 5","Estate sequence W13","Design & Technology (ASDAN Foodwise, Textiles & Construction) – taster units","Record process photos and a design evaluation.","'BUILD Weekly - Autumn'!B170","'BUILD Weekly - Autumn'!C170","'BUILD Weekly - Autumn'!D159","Design-make-evaluate cycle delivered through ASDAN short courses: Foodwise, Textiles and Construction/Making. Introductory taster units at Entry level; heavy scaffolding and modelling. AQA UAS D&T units (unit unconfirmed — centre record).","'BUILD Weekly - Autumn'!F159","ASDAN Foodwise/Textiles/Construction short-course evidence · AQA UAS 'Designing a product', 'Making a product', 'Food & nutrition' (unit unconfirmed — centre record). F: process observation. S: finished product + evaluation.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_CON_W6","BUILD_ASDAN_A2_CON_W6_Present_My_Product_and_Improve.html","Autumn 2 · Week 6","Estate sequence W14","Design & Technology (ASDAN Foodwise, Textiles & Construction) – taster units","Present my product and say what I would improve.","'BUILD Weekly - Autumn'!B171","'BUILD Weekly - Autumn'!C171","'BUILD Weekly - Autumn'!D159","Design-make-evaluate cycle delivered through ASDAN short courses: Foodwise, Textiles and Construction/Making. Introductory taster units at Entry level; heavy scaffolding and modelling. AQA UAS D&T units (unit unconfirmed — centre record).","'BUILD Weekly - Autumn'!F159","ASDAN Foodwise/Textiles/Construction short-course evidence · AQA UAS 'Designing a product', 'Making a product', 'Food & nutrition' (unit unconfirmed — centre record). F: process observation. S: finished product + evaluation.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_COMM_W1","BUILD_ASDAN_A2_COMM_W1_Review_Progress_and_Solve_a_Problem.html","Autumn 2 · Week 1","Estate sequence W9","Community Project & Vocational (flexible – adapt to your local area)","Review progress and solve a problem as a team.","'BUILD Weekly - Autumn'!B181","'BUILD Weekly - Autumn'!C181","'BUILD Weekly - Autumn'!D174","School-designed community & vocational project. ADAPT the context to your school's local environment, partners and facilities (e.g. allotment, café, charity shop, recycling, care home, local employer). Keep tasks small, structured and supported. Accredited via ASDAN (Careers & Experiencing Work, Employability, Gardening, Hospitality) and AQA UAS.","'BUILD Weekly - Autumn'!F174","ASDAN short-course & Employability evidence · AQA UAS 'Working as a team', 'Contributing to the community', 'Experiencing work' (unit unconfirmed — centre record). F: project log. S: project outcome + reflection.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_COMM_W2","BUILD_ASDAN_A2_COMM_W2_Practise_a_Vocational_Skill.html","Autumn 2 · Week 2","Estate sequence W10","Community Project & Vocational (flexible – adapt to your local area)","Practise a vocational skill our project needs.","'BUILD Weekly - Autumn'!B182","'BUILD Weekly - Autumn'!C182","'BUILD Weekly - Autumn'!D174","School-designed community & vocational project. ADAPT the context to your school's local environment, partners and facilities (e.g. allotment, café, charity shop, recycling, care home, local employer). Keep tasks small, structured and supported. Accredited via ASDAN (Careers & Experiencing Work, Employability, Gardening, Hospitality) and AQA UAS.","'BUILD Weekly - Autumn'!F174","ASDAN short-course & Employability evidence · AQA UAS 'Working as a team', 'Contributing to the community', 'Experiencing work' (unit unconfirmed — centre record). F: project log. S: project outcome + reflection.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_COMM_W3","BUILD_ASDAN_A2_COMM_W3_Jobs_Involved_in_Our_Project.html","Autumn 2 · Week 3","Estate sequence W11","Community Project & Vocational (flexible – adapt to your local area)","Link to careers: what jobs does this project involve?","'BUILD Weekly - Autumn'!B183","'BUILD Weekly - Autumn'!C183","'BUILD Weekly - Autumn'!D174","School-designed community & vocational project. ADAPT the context to your school's local environment, partners and facilities (e.g. allotment, café, charity shop, recycling, care home, local employer). Keep tasks small, structured and supported. Accredited via ASDAN (Careers & Experiencing Work, Employability, Gardening, Hospitality) and AQA UAS.","'BUILD Weekly - Autumn'!F174","ASDAN short-course & Employability evidence · AQA UAS 'Working as a team', 'Contributing to the community', 'Experiencing work' (unit unconfirmed — centre record). F: project log. S: project outcome + reflection.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_COMM_W4","BUILD_ASDAN_A2_COMM_W4_Take_Responsibility_for_My_Project_Role.html","Autumn 2 · Week 4","Estate sequence W12","Community Project & Vocational (flexible – adapt to your local area)","Take responsibility for a personal project role.","'BUILD Weekly - Autumn'!B184","'BUILD Weekly - Autumn'!C184","'BUILD Weekly - Autumn'!D174","School-designed community & vocational project. ADAPT the context to your school's local environment, partners and facilities (e.g. allotment, café, charity shop, recycling, care home, local employer). Keep tasks small, structured and supported. Accredited via ASDAN (Careers & Experiencing Work, Employability, Gardening, Hospitality) and AQA UAS.","'BUILD Weekly - Autumn'!F174","ASDAN short-course & Employability evidence · AQA UAS 'Working as a team', 'Contributing to the community', 'Experiencing work' (unit unconfirmed — centre record). F: project log. S: project outcome + reflection.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_COMM_W5","BUILD_ASDAN_A2_COMM_W5_Gather_and_Organise_Project_Evidence.html","Autumn 2 · Week 5","Estate sequence W13","Community Project & Vocational (flexible – adapt to your local area)","Gather and organise our project evidence.","'BUILD Weekly - Autumn'!B185","'BUILD Weekly - Autumn'!C185","'BUILD Weekly - Autumn'!D174","School-designed community & vocational project. ADAPT the context to your school's local environment, partners and facilities (e.g. allotment, café, charity shop, recycling, care home, local employer). Keep tasks small, structured and supported. Accredited via ASDAN (Careers & Experiencing Work, Employability, Gardening, Hospitality) and AQA UAS.","'BUILD Weekly - Autumn'!F174","ASDAN short-course & Employability evidence · AQA UAS 'Working as a team', 'Contributing to the community', 'Experiencing work' (unit unconfirmed — centre record). F: project log. S: project outcome + reflection.","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_COMM_W6","BUILD_ASDAN_A2_COMM_W6_Share_Our_Impact.html","Autumn 2 · Week 6","Estate sequence W14","Community Project & Vocational (flexible – adapt to your local area)","Share our impact with others (assembly/display).","'BUILD Weekly - Autumn'!B186","'BUILD Weekly - Autumn'!C186","'BUILD Weekly - Autumn'!D174","School-designed community & vocational project. ADAPT the context to your school's local environment, partners and facilities (e.g. allotment, café, charity shop, recycling, care home, local employer). Keep tasks small, structured and supported. Accredited via ASDAN (Careers & Experiencing Work, Employability, Gardening, Hospitality) and AQA UAS.","'BUILD Weekly - Autumn'!F174","ASDAN short-course & Employability evidence · AQA UAS 'Working as a team', 'Contributing to the community', 'Experiencing work' (unit unconfirmed — centre record). F: project log. S: project outcome + reflection.","Teaching/rehearsal · potential evidence: assessor review required."
