id,pathway,subject,term,week,sow_slot,objective,html,classification,chassis,target,title,status
LAUNCH_HUM_S1_W05,LAUNCH,Humanities,Sum1,5,31,Link learning to local action with Community Project links.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S1_W05_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S1_W06,LAUNCH,Humanities,Sum1,6,32,Complete a sustainability decision report.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S1_W06_Lesson.html,,WAITING P1 ok
BUILD_HUM_S2_W01,BUILD,Humanities,Sum2,1,33,Identify ways we can look after our planet linked to Earth Day.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S2_W01_Lesson.html,,WAITING P1 ok
BUILD_HUM_S2_W02,BUILD,Humanities,Sum2,2,34,Sort recycling and explain why with Science links.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S2_W02_Lesson.html,,WAITING P1 ok
BUILD_HUM_S2_W03,BUILD,Humanities,Sum2,3,35,Take part in an eco action linked to World Environment Day.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S2_W03_Lesson.html,,WAITING P1 ok
BUILD_HUM_S2_W04,BUILD,Humanities,Sum2,4,36,Talk about caring for living things and places.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S2_W04_Lesson.html,,WAITING P1 ok
BUILD_HUM_S2_W05,BUILD,Humanities,Sum2,5,37,Make a change to help our environment.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S2_W05_Lesson.html,,WAITING P1 ok
BUILD_HUM_S2_W06,BUILD,Humanities,Sum2,6,38,Share our planet project with others.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S2_W06_Lesson.html,,WAITING P1 ok
BUILD_HUM_S2_W07,BUILD,Humanities,Sum2,7,39,Review Humanities skills and bank UAS evidence.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S2_W07_Lesson.html,,WAITING P1 ok
GROW_HUM_S2_W01,GROW,Humanities,Sum2,1,33,Investigate how people affect the environment over time.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S2_W01_Lesson.html,,WAITING P1 ok
GROW_HUM_S2_W02,GROW,Humanities,Sum2,2,34,Use historical sources about land settlement or industry.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S2_W02_Lesson.html,,WAITING P1 ok
GROW_HUM_S2_W03,GROW,Humanities,Sum2,3,35,Explain how and why our environment has changed.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S2_W03_Lesson.html,,WAITING P1 ok
GROW_HUM_S2_W04,GROW,Humanities,Sum2,4,36,Investigate how communities care for the planet with an RE link.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S2_W04_Lesson.html,,WAITING P1 ok
GROW_HUM_S2_W05,GROW,Humanities,Sum2,5,37,Plan and present an enquiry about our world.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S2_W05_Lesson.html,,WAITING P1 ok
GROW_HUM_S2_W06,GROW,Humanities,Sum2,6,38,Present geographical and historical findings.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S2_W06_Lesson.html,,WAITING P1 ok
GROW_HUM_S2_W07,GROW,Humanities,Sum2,7,39,Complete an our-world enquiry assessment with map and source checks and bank UAS evidence.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S2_W07_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S2_W01,LAUNCH,Humanities,Sum2,1,33,Investigate local heritage and change using digital archives.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S2_W01_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S2_W02,LAUNCH,Humanities,Sum2,2,34,Conduct geographical fieldwork in the locality.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S2_W02_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S2_W03,LAUNCH,Humanities,Sum2,3,35,Use GIS to map how the locality has changed.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S2_W03_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S2_W04,LAUNCH,Humanities,Sum2,4,36,Connect history and geography to my place with preparation for adulthood links.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S2_W04_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S2_W05,LAUNCH,Humanities,Sum2,5,37,Build a multimedia my-place project.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S2_W05_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S2_W06,LAUNCH,Humanities,Sum2,6,38,Present the local-heritage project.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S2_W06_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S2_W07,LAUNCH,Humanities,Sum2,7,39,Complete the project and bank UAS evidence.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S2_W07_Lesson.html,,WAITING P1 ok
