SCI id,pathway,week,item,hinge question,expected answer,plausible wrong answer,misconception revealed
SCI_LAUNCH_SU1_W05,LAUNCH,5,1,A glucose graph rises then returns toward range. Which principle helps explain it?,Hormonal negative feedback.,Seed dispersal.,Fails to select the taught principle.
SCI_LAUNCH_SU1_W05,LAUNCH,5,2,Blood goes through lungs and body via the heart. Which model?,Double circulation.,A one-way route without return.,Omits the two circuits.
SCI_LAUNCH_SU1_W05,LAUNCH,5,3,Thick alveolar walls can slow transfer because…?,Diffusion distance increases.,The heart stops all airflow.,Confuses exchange-surface mechanism.
SCI_LAUNCH_SU1_W05,LAUNCH,5,4,A report gives one number without units or comparison. Can you infer a trend?,No; context and units are needed.,Yes; any number proves a trend.,Overclaims from insufficient data.
SCI_LAUNCH_SU1_W05,LAUNCH,5,5,Faster breathing alone proves oxygen reached every cell. Is that justified?,No; ventilation rose but exchange and circulation evidence is needed.,Yes; breathing rate proves cellular delivery.,Extends an observation beyond its evidence.
SCI_LAUNCH_SU1_W05,LAUNCH,5,6,What would strengthen an unfamiliar-context claim?,"A relevant measure, source and limitation.",More unrelated facts.,Adds volume without evidential support.
SCI_LAUNCH_SU1_W06,LAUNCH,6,1,A practice item says “explain”. What must the response do?,Give a causal link using the relevant concept.,List unrelated labels only.,Confuses explanation with description.
SCI_LAUNCH_SU1_W06,LAUNCH,6,2,"Before interpreting a graph in practice, what do you read?","Axes, units and labels.",Only the line colour.,Ignores source information.
SCI_LAUNCH_SU1_W06,LAUNCH,6,3,A practice item names a thick alveolar wall. Which concept applies?,Longer diffusion distance slows exchange.,More seed dispersal.,Does not select the relevant topic.
SCI_LAUNCH_SU1_W06,LAUNCH,6,4,What should a practice response be checked against?,"The command, evidence and stated concept.",Its length only.,Checks quantity instead of relevance.
SCI_LAUNCH_SU1_W06,LAUNCH,6,5,Does a practice rehearsal supply answers in the live Paper 2 assessment?,No; live assessment follows permitted access arrangements.,Yes; use the model answer in the test.,Transfers rehearsal support into an assessed response.
SCI_LAUNCH_SU1_W06,LAUNCH,6,6,Why is “alveoli are in lungs” incomplete for “why does a thick wall slow transfer”?,It does not link wall thickness to diffusion distance.,It already explains the cause fully.,Accepts a location fact as a causal explanation.
